"Name,""Source"",""Page"",""Size"",""Type"",""Alignment"",""AC"",""HP"",""Speed"",""Strength"",""Dexterity"",""Constitution"",""Intelligence"",""Wisdom"",""Charisma"",""Saving Throws"",""Skills"",""Damage Vulnerabilities"",""Damage Resistances"",""Damage Immunities"",""Condition Immunities"",""Senses"",""Languages"",""CR"",""Traits"",""Actions"",""Bonus Actions"",""Reactions"",""Legendary Actions"",""Mythic Actions"",""Lair Actions"",""Regional Effects"",""Environment"",""Treasure""";;;;;;;
;;;;;;;
Swallow. The elder dinosaur makes one bite attack against a Large or smaller creature it is grappling. If the attack hits, that creature takes the bite's damage, the target is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the elder dinosaur, and it takes 56 (16d6) acid damage at the start of each of the elder dinosaur's turns. If the elder dinosaur takes 60 damage or more on a single turn from a creature inside it, it must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of it. If the elder dinosaur dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 20 feet of movement, exiting prone.;;;;;;;
;;;;;;;
Multiattack. The elder dinosaur can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, one with its horns, and one with its tail. It can use its tail spikes in place of any or all of those attacks, and it can use its Swallow instead of its bite.;;;;;;;
;;;;;;;
Bite. Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 36 (4d12 + 10) piercing damage. If the target is a creature, it is grappled (escape DC 20). Until this grapple ends, the target is restrained, and the elder dinosaur can't bite another target.;;;;;;;
;;;;;;;
Claw. Melee Weapon Attack: +19 to hit, reach 15 ft., one target. Hit: 28 (4d8 + 10) slashing damage.;;;;;;;
;;;;;;;
Horns. Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 32 (4d10 + 10) piercing damage.;;;;;;;
;;;;;;;
Tail. Melee Weapon Attack: +19 to hit, reach 20 ft., one target. Hit: 24 (4d6 + 10) piercing damage. If the target is a creature, it must succeed on a DC 20 Strength saving throw or be knocked prone.;;;;;;;
;;;;;;;
"Tail Spikes. Ranged Weapon Attack: +9 to hit, range 100/300 ft., two targets. Hit: 7 (2d6) piercing damage."","""","""",""Attack. The elder dinosaur makes one claw attack, tail attack, wing attack, or flipper attack.";;;;;;;
;;;;;;;
Move. The elder dinosaur moves up to half its speed.;;;;;;;
;;;;;;;
"Chomp (Costs 2 Actions). The elder dinosaur makes one bite attack or uses its Swallow."","""","""","""","""",""""";;;;;;;
"Elder Dinosaur (Zacama, Primal Calamity),""PSX"",""34"",""Gargantuan"",""Monstrosity (Titan)"",""unaligned"",""25 (natural armor)"",""676 (33d20 + 330)"",""40 ft."",""30"",""11"",""30"",""3"",""11"",""11"",""Int +5, Wis +9, Cha +9"","""","""","""",""fire, poison";" bludgeoning, piercing, and slashing from nonmagical attacks"",""charmed, frightened, paralyzed, poisoned"",""Blindsight 120 ft., passive Perception 10"",""—"",""30 (XP 155.000";" PB +9)"",""Legendary Resistance (3/Day). If the elder dinosaur fails a saving throw, it can choose to succeed instead.";;;;;
;;;;;;;
Magic Resistance. The elder dinosaur has advantage on saving throws against spells and other magical effects.;;;;;;;
;;;;;;;
Siege Monster. The elder dinosaur deals double damage to objects and structures.;;;;;;;
;;;;;;;
"Uniqueness. These statistics are shared by all six elder dinosaurs: Etali, Primal Storm, Ghalta, Primal Hunger, Nezahal, Primal Tide, Tetzimoc, Primal Death, Zacama, Primal Calamity, Zetalpa, Primal Dawn"",""Frightful Presence. Each creature of the elder dinosaur's choice within 120 feet of it and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, with disadvantage if the elder dinosaur is within line of sight, ending the effect on itself ona success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the elder dinosaur's Frightful Presence for the next 24 hours.";;;;;;;
;;;;;;;
Swallow. The elder dinosaur makes one bite attack against a Large or smaller creature it is grappling. If the attack hits, that creature takes the bite's damage, the target is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the elder dinosaur, and it takes 56 (16d6) acid damage at the start of each of the elder dinosaur's turns. If the elder dinosaur takes 60 damage or more on a single turn from a creature inside it, it must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of it. If the elder dinosaur dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 20 feet of movement, exiting prone.;;;;;;;
;;;;;;;
Multiattack. The elder dinosaur can use its Frightful Presence. It then makes five attacks: three with its bite, one with its stomp, and one with its tail. It can use its Swallow instead of a bite.;;;;;;;
;;;;;;;
"Bite. Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 36 (4d12 + 10) piercing damage. If the target is a creature, it is grappled (escape DC 20). Until this grapple ends, the target is restrained. If the elder dinosaur has three targets restrained in this way, it can't bite another target."","""","""",""Attack. The elder dinosaur makes one claw attack, tail attack, wing attack, or flipper attack.";;;;;;;
;;;;;;;
Move. The elder dinosaur moves up to half its speed.;;;;;;;
;;;;;;;
"Chomp (Costs 2 Actions). The elder dinosaur makes one bite attack or uses its Swallow."","""","""","""","""",""""";;;;;;;
"Elder Dinosaur (Zetalpa, Primal Dawn),""PSX"",""34"",""Gargantuan"",""Monstrosity (Titan)"",""unaligned"",""25 (natural armor)"",""676 (33d20 + 330)"",""20 ft., Fly 60 ft."",""30"",""11"",""30"",""3"",""11"",""11"",""Int +5, Wis +9, Cha +9"","""","""",""radiant"",""fire, poison";" bludgeoning, piercing, and slashing from nonmagical attacks"",""charmed, frightened, paralyzed, poisoned"",""Blindsight 120 ft., passive Perception 10"",""—"",""30 (XP 155.000";" PB +9)"",""Legendary Resistance (3/Day). If the elder dinosaur fails a saving throw, it can choose to succeed instead.";;;;;
;;;;;;;
Magic Resistance. The elder dinosaur has advantage on saving throws against spells and other magical effects.;;;;;;;
;;;;;;;
Siege Monster. The elder dinosaur deals double damage to objects and structures.;;;;;;;
;;;;;;;
"Uniqueness. These statistics are shared by all six elder dinosaurs: Etali, Primal Storm, Ghalta, Primal Hunger, Nezahal, Primal Tide, Tetzimoc, Primal Death, Zacama, Primal Calamity, Zetalpa, Primal Dawn"",""Frightful Presence. Each creature of the elder dinosaur's choice within 120 feet of it and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, with disadvantage if the elder dinosaur is within line of sight, ending the effect on itself ona success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the elder dinosaur's Frightful Presence for the next 24 hours.";;;;;;;
;;;;;;;
Swallow. The elder dinosaur makes one bite attack against a Large or smaller creature it is grappling. If the attack hits, that creature takes the bite's damage, the target is swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside the elder dinosaur, and it takes 56 (16d6) acid damage at the start of each of the elder dinosaur's turns. If the elder dinosaur takes 60 damage or more on a single turn from a creature inside it, it must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, which fall prone in a space within 10 feet of it. If the elder dinosaur dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 20 feet of movement, exiting prone.;;;;;;;
;;;;;;;
Multiattack. The elder dinosaur can use its Frightful Presence. It then makes five attacks: one with its bite, two with its claws, and two with its wings. It can use its Swallow instead of its bite.;;;;;;;
;;;;;;;
Bite. Melee Weapon Attack: +19 to hit, reach 10 ft., one target. Hit: 36 (4d12 + 10) piercing damage. If the target is a creature, it is grappled (escape DC 20). Until this grapple ends, the target is restrained, and the elder dinosaur can't bite another target.;;;;;;;
;;;;;;;
Claw. Melee Weapon Attack: +19 to hit, reach 15 ft., one target. Hit: 28 (4d8 + 10) slashing damage.;;;;;;;
;;;;;;;
"Wing. Melee Weapon Attack: +19 to hit, reach 20 ft., one target. Hit: 28 (4d8 + 10) bludgeoning damage."","""","""",""Attack. The elder dinosaur makes one claw attack, tail attack, wing attack, or flipper attack.";;;;;;;
;;;;;;;
Move. The elder dinosaur moves up to half its speed.;;;;;;;
;;;;;;;
"Chomp (Costs 2 Actions). The elder dinosaur makes one bite attack or uses its Swallow."","""","""","""","""",""""";;;;;;;
"Elder Giant Lizard,""TftYP"",""176"",""Huge"",""Beast"",""unaligned"",""14 (natural armor)"",""85 (9d12 + 27)"",""30 ft., Climb 30 ft."",""21"",""9"",""17"",""2"",""10"",""7"","""",""Stealth +5"","""","""","""","""",""Darkvision 60 ft., passive Perception 10"",""—"",""5 (XP 1.800";" PB +3)"",""Hold Breath. The lizard can hold its breath for 30 minutes."",""Multiattack. The lizard makes two attacks: one with its bite and one with its tail.";;;;;;
;;;;;;;
Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 21 (3d10 + 5) piercing damage, and the target is grappled (escape DC 16). Until this grapple ends, the target is restrained, and the lizard can't bite another target.;;;;;;;
;;;;;;;
"Tail. Melee Weapon Attack: +8 to hit, reach 10 ft., one target not grappled by the lizard. Hit: 14 (2d8 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 16 Strength saving throw or be knocked prone."","""","""","""","""","""","""","""",""""";;;;;;;
"Elder Monastery of the Distressed Body Monk,""LLK"",""12"",""Medium"",""Humanoid (Any Race)"",""any non-good alignment"",""13 (leather armor)"",""33 (6d8 + 6)"",""30 ft."",""11"",""14"",""12"",""10"",""13"",""14"","""",""Deception +4, Persuasion +4, Religion +2"","""","""","""","""",""passive Perception 11"",""Any one language (usually Common)"",""2 (XP 450";" PB +2)"",""Dark Devotion. The monk has advantage on saving throws against being charmed or frightened.";;;;;;
;;;;;;;
Spellcasting. The monk is a 4th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 11, +3 to hit with spell attacks). The monk has the following cleric spells prepared:;;;;;;;
;;;;;;;
Cantrips (at will): light, sacred flame, thaumaturgy;;;;;;;
;;;;;;;
1st level (4 slots): command, inflict wounds, shield of faith;;;;;;;
;;;;;;;
"2nd level (3 slots): hold person, spiritual weapon"",""Multiattack. The monk makes two melee attacks.";;;;;;;
;;;;;;;
"Force Pike. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 40/100 ft., one creature. Hit: 7 (1d10 + 2) force damage. The attack has disadvantage against any target with polished metal armor or shield, and has its ranged halved when firing through smoke or fog."","""","""","""","""","""","""","""",""""";;;;;;;
"Elder Oblex,""MPMM"",""199"",""Huge"",""Ooze"",""lawful evil"",""16"",""115 (10d12 + 50)"",""20 ft."",""15"",""16"",""21"",""22"",""13"",""18"",""Int +10, Cha +8"",""Arcana +10, Deception +8, History +10, Nature +10, Perception +5, Religion +10"","""","""","""",""blinded, charmed, deafened, exhaustion, prone"",""Blindsight 60 ft. (blind beyond this distance), passive Perception 15"",""Common plus six more languages"",""10 (XP 5.900";" PB +4)"",""Amorphous. The oblex can move through a space as narrow as 1 inch wide without squeezing.";;;;;;
;;;;;;;
Aversion to Fire. If the oblex takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.;;;;;;;
;;;;;;;
"Unusual Nature. The oblex doesn't require sleep."",""Multiattack. The elder oblex makes two Pseudopod attacks, and it uses Eat Memories.";;;;;;;
;;;;;;;
Pseudopod. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 17 (4d6 + 3) bludgeoning damage plus 14 (4d6) psychic damage.;;;;;;;
;;;;;;;
Eat Memories. The oblex targets one creature it can see within 5 feet of it. The target must succeed on a DC 18 Wisdom saving throw or take 44 (8d10) psychic damage and become memory drained until it finishes a short or long rest or until it benefits from the greater restoration or heal spell. Constructs, Oozes, Plants, and Undead succeed on the save automatically.;;;;;;;
;;;;;;;
While memory drained, the target must roll a d4 and subtract the number rolled from any ability check or attack roll it makes. Each time the target is memory drained beyond the first, the die size increases by one: the d4 becomes a d6, the d6 becomes a d8, and so on until the die becomes a d20, at which point the target becomes unconscious for 1 hour. The effect then ends.;;;;;;;
;;;;;;;
The oblex learns all the languages a memory-drained target knows and gains all its skill proficiencies.;;;;;;;
;;;;;;;
Spellcasting (Psionics). The oblex casts one of the following spells, requiring no spell components and using Intelligence as the spellcasting ability (spell save DC 18):;;;;;;;
;;;;;;;
At will: charm person (as 5th-level spell), detect thoughts;;;;;;;
;;;;;;;
"3/day each: dimension door, dominate person, hypnotic pattern, telekinesis"",""Sulfurous Impersonation. The oblex extrudes a piece of itself that assumes the appearance of one Medium or smaller creature whose memories it has stolen. This simulacrum appears, feels, and sounds exactly like the creature it impersonates, though it smells faintly of sulfur. The oblex can impersonate 2d6 + 1 different creatures, each one tethered to its body by a strand of slime that can extend up to 120 feet away. The simulacrum is an extension of the oblex, meaning that the oblex occupies its space and the simulacrum's space simultaneously. The tether is immune to damage, but it is severed if there is no opening at least 1 inch wide between the oblex and the simulacrum. The simulacrum disappears if the tether is severed."","""","""","""","""","""",""Swamp, Underdark, Urban"",""""";;;;;;;
"Elder Oblex,""MTF"",""219"",""Huge"",""Ooze"",""lawful evil"",""16"",""115 (10d12 + 50)"",""20 ft."",""15"",""16"",""21"",""22"",""13"",""18"",""Int +10, Cha +8"",""Arcana +10, Deception +8, History +10, Nature +10, Perception +5, Religion +10"","""","""","""",""blinded, charmed, deafened, exhaustion, prone"",""Blindsight 60 ft. (blind beyond this distance), passive Perception 15"",""Common plus six more"",""10 (XP 5.900";" PB +4)"",""Amorphous. The oblex can move through a space as narrow as 1 inch wide without squeezing.";;;;;;
;;;;;;;
Aversion to Fire. If the oblex takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.;;;;;;;
;;;;;;;
Innate Spellcasting. The oblex's innate spellcasting ability is Intelligence (spell save DC 18). It can innately cast the following spells, requiring no material components:;;;;;;;
;;;;;;;
At will: charm person (as 5th-level spell), detect thoughts, hold person;;;;;;;
;;;;;;;
3/day each: confusion, dimension door, dominate person, fear, hallucinatory terrain, hold monster, hypnotic pattern, telekinesis;;;;;;;
;;;;;;;
"Sulfurous Impersonation. As a bonus action, the oblex can extrude a piece of itself that assumes the appearance of one Medium or smaller creature whose memories it has stolen. This simulacrum appears, feels, and sounds exactly like the creature it impersonates, though it smells faintly of sulfur. The oblex can impersonate 2d6 + 1 different creatures, each one tethered to its body by a strand of slime that can extend up to 120 feet away. For all practical purposes, the simulacrum is the oblex, meaning the oblex occupies its space and the simulacrum's space simultaneously. The slimy tether is immune to damage, but it is severed if there is no opening at least 1 inch wide between the oblex's main body and the simulacrum. The simulacrum disappears if the tether is severed."",""Multiattack. The elder oblex makes two pseudopod attacks and uses Eat Memories.";;;;;;;
;;;;;;;
Pseudopod. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 17 (4d6 + 3) bludgeoning damage plus 7 (2d6) psychic damage.;;;;;;;
;;;;;;;
Eat Memories. The oblex targets one creature it can see within 5 feet of it. The target must succeed on a DC 18 Wisdom saving throw or take 44 (8d10) psychic damage and become memory drained until it finishes a short or long rest or until it benefits from the greater restoration or heal spell. Constructs, oozes, plants, and undead succeed on the save automatically.;;;;;;;
;;;;;;;
While memory drained, the target must roll a d4 and subtract the number rolled from any ability check or attack roll it makes. Each time the target is memory drained beyond the first, the die size increases by one: the d4 becomes a d6, the d6 becomes a d8, and so on until the die becomes a d20, at which point the target becomes unconscious for 1 hour. The effect then ends.;;;;;;;
;;;;;;;
"When an oblex causes a target to become memory drained, the oblex learns all the languages the target knows and gains all its proficiencies, except any saving throw proficiencies."","""","""","""","""","""","""",""Swamp, Underdark, Urban"",""""";;;;;;;
"Elder Tempest,""MPMM"",""121"",""Gargantuan"",""Elemental"",""neutral"",""19"",""264 (16d20 + 96)"",""0 ft., Fly 120 ft. (hover)"",""23"",""28"",""23"",""2"",""21"",""18"",""Wis +12, Cha +11"","""","""",""bludgeoning, piercing, and slashing from nonmagical attacks"",""lightning, poison, thunder"",""exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned"",""Darkvision 60 ft., passive Perception 15"",""—"",""23 (XP 50.000";" PB +7)"",""Air Form. The tempest can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.";;;;;;
;;;;;;;
Flyby. The tempest doesn't provoke opportunity attacks when it flies out of an enemy's reach.;;;;;;;
;;;;;;;
Legendary Resistance (3/Day). If the tempest fails a saving throw, it can choose to succeed instead.;;;;;;;
;;;;;;;
Living Storm. The tempest is always at the center of a storm 1d6 + 4 miles in diameter. Heavy precipitation in the form of either rain or snow falls there, causing the area to be lightly obscured. Heavy rain also extinguishes open flames and imposes disadvantage on Wisdom (Perception) checks that rely on hearing. In addition, strong winds swirl in the area covered by the storm. The winds impose disadvantage on ranged attack rolls. They also extinguish open flames and disperse fog.;;;;;;;
;;;;;;;
"Siege Monster. The tempest deals double damage to objects and structures."",""Multiattack. The tempest makes two Thunderous Slam attacks.";;;;;;;
;;;;;;;
Thunderous Slam. Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 23 (4d6 + 9) thunder damage.;;;;;;;
;;;;;;;
"Lightning Storm (Recharge 6). Each creature within 120 feet of the tempest must make a DC 21 Dexterity saving throw, taking 27 (6d8) lightning damage on a failed save, or half as much damage on a successful one. If a target's saving throw fails by 5 or more, the creature is also stunned until the end of its next turn."","""","""",""Move. The tempest moves up to its speed.";;;;;;;
;;;;;;;
Lightning Strike (Costs 2 Actions). The tempest can cause a bolt of lightning to strike a point on the ground anywhere under its storm. Each creature within 5 feet of that point must make a DC 21 Dexterity saving throw, taking 16 (3d10) lightning damage on a failed save, or half as much damage on a successful one.;;;;;;;
;;;;;;;
"Screaming Gale (Costs 3 Actions). The tempest releases a blast of thunder and wind in a line that is 300 feet long and 20 feet wide. Objects in that area take 22 (4d10) thunder damage. Each creature there must succeed on a DC 21 Dexterity saving throw or take 22 (4d10) thunder damage and be flung up to 60 feet in a direction away from the line. If a thrown target collides with an immovable object (such as a wall or floor) or another creature, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown before impact. If the target collides with another creature, that other creature must succeed on a DC 19 Dexterity saving throw or take the same impact damage and be knocked prone."","""","""","""",""Arctic, Coastal, Grassland, Hill, Mountain"",""""";;;;;;;
"Elder Tempest,""MTF"",""200"",""Gargantuan"",""Elemental"",""neutral"",""19"",""264 (16d20 + 96)"",""0 ft., Fly 120 ft. (hover)"",""23"",""28"",""23"",""2"",""21"",""18"",""Wis +12, Cha +11"","""","""",""bludgeoning, piercing, and slashing from nonmagical attacks"",""lightning, poison, thunder"",""exhaustion, grappled, paralyzed, petrified, poisoned, prone, restrained, stunned"",""Darkvision 60 ft., passive Perception 15"",""—"",""23 (XP 50.000";" PB +7)"",""Air Form. The tempest can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.";;;;;;
;;;;;;;
Flyby. The tempest doesn't provoke opportunity attacks when it flies out of an enemy's reach.;;;;;;;
;;;;;;;
Legendary Resistance (3/Day). If the tempest fails a saving throw, it can choose to succeed instead.;;;;;;;
;;;;;;;
Living Storm. The tempest is always at the center of a storm 1d6 + 4 miles in diameter. Heavy precipitation in the form of either rain or snow falls there, causing the area to be lightly obscured. Heavy rain also extinguishes open flames and imposes disadvantage on Wisdom (Perception) checks that rely on hearing.;;;;;;;
;;;;;;;
In addition, strong winds swirl in the area covered by the storm. The winds impose disadvantage on ranged attack rolls. The winds extinguish open flames and disperse fog.;;;;;;;
;;;;;;;
"Siege Monster. The tempest deals double damage to objects and structures."",""Multiattack. The tempest makes two attacks with its thunderous slam.";;;;;;;
;;;;;;;
Thunderous Slam. Melee Weapon Attack: +16 to hit, reach 20 ft., one target. Hit: 23 (4d6 + 9) thunder damage.;;;;;;;
;;;;;;;
"Lightning Storm (Recharge 6). All other creatures within 120 feet of the tempest must each make a DC 20 Dexterity saving throw, taking 27 (6d8) lightning damage on a failed save, or half as much damage on a successful one. If a target's saving throw fails by 5 or more, the creature is also stunned until the end of its next turn."","""","""",""Move. The tempest moves up to its speed.";;;;;;;
;;;;;;;
Lightning Strike (Costs 2 Actions). The tempest can cause a bolt of lightning to strike a point on the ground anywhere under its storm. Each creature within 5 feet of that point must make a DC 20 Dexterity saving throw, taking 16 (3d10) lightning damage on a failed save, or half as much damage on a successful one.;;;;;;;
;;;;;;;
"Screaming Gale (Costs 3 Actions). The tempest releases a blast of thunder and wind in a line that is 1 mile long and 20 feet wide. Objects in that area take 22 (4d10) thunder damage. Each creature there must succeed on a DC 21 Dexterity saving throw or take 22 (4d10) thunder damage and be flung up to 60 feet in a direction away from the line. If a thrown target collides with an immovable object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown before impact. If the target would collide with another creature instead, that other creature must succeed on a DC 19 Dexterity saving throw or take the same damage and be knocked prone."","""","""","""",""Arctic, Coastal, Grassland, Hill, Mountain"",""""";;;;;;;
"Eldeth Feldrun,""OotA"",""6"",""Medium"",""Humanoid (Dwarf)"",""any alignment"",""13 (leather armor)"",""16 (3d8 + 3)"",""25 ft."",""11"",""14"",""12"",""11"",""13"",""11"","""",""Nature +4, Perception +5, Stealth +6, Survival +5"","""",""poison"","""","""",""Darkvision 60 ft., passive Perception 15"",""Any one language (usually Common), Dwarvish"",""1/2 (XP 100";" PB +2)"",""Dwarven Resilience. Eldeth has advantage on saving throws against poison, and has resistance against poison damage.";;;;;;
;;;;;;;
"Keen Hearing and Sight. Eldeth has advantage on Wisdom (Perception) checks that rely on hearing or sight."",""Multiattack. Eldeth makes two melee attacks or two ranged attacks.";;;;;;;
;;;;;;;
Shortsword. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.;;;;;;;
;;;;;;;
"Longbow. Ranged Weapon Attack: +4 to hit, ranged 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage."","""","""","""","""","""","""","""",""""";;;;;;;
"Eldon Keyward,""VEoR"",""29"",""Medium"",""Humanoid (Any Race)"",""any alignment"",""13 (chain shirt)"",""27 (5d8 + 5)"",""30 ft."",""10"",""10"",""12"",""13"",""16"",""13"","""",""Medicine +7, Persuasion +3, Religion +5"","""","""","""","""",""passive Perception 13"",""Any two languages"",""2 (XP 450";" PB +2)"",""Divine Eminence. As a bonus action, Eldon can expend a spell slot to cause its melee weapon attacks to magically deal an extra 10 (3d6) radiant damage to a target on a hit. This benefit lasts until the end of the turn. If Eldon expends a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each level above 1st.";;;;;;
;;;;;;;
Spellcasting. Eldon is a 5th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 13, +5 to hit with spell attacks). Eldon has the following cleric spells prepared:;;;;;;;
;;;;;;;
Cantrips (at will): light, sacred flame, thaumaturgy;;;;;;;
;;;;;;;
1st level (4 slots): cure wounds, guiding bolt, sanctuary;;;;;;;
;;;;;;;
2nd level (3 slots): lesser restoration, spiritual weapon;;;;;;;
;;;;;;;
"3rd level (2 slots): dispel magic, spirit guardians"",""Mace. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage."","""","""","""","""","""","""","""",""""";;;;;;;
"Eldritch Eddy,""NF"",""undefined"",""Large"",""Construct"",""chaotic neutral"",""11"",""144 (17d10 + 51)"",""10 ft., Fly 40 ft. (hover)"",""10"",""12"",""16"",""12"",""9"",""17"",""Dex +4, Int +4, Cha +6"","""","""",""force"",""fire, lightning"",""charmed, exhaustion, frightened, paralyzed, petrified, poisoned"",""Blindsight 60 ft., passive Perception 9"",""Understands Common plus one other language but can't speak"",""6 (XP 2.300";" PB +3)"",""Magic Resistance. The eddy has Advantage on saving throws against spells and other magical effects."",""Multiattack. The eddy makes two attacks, using Searing Swipe or Arcane Bolt in any combination.";;;;;;
;;;;;;;
Searing Swipe. Melee Attack Roll: +6, reach 10 ft. Hit: 13 (3d6 + 3) Fire or Lightning damage (eddy's choice).;;;;;;;
;;;;;;;
"Arcane Bolt. Ranged Attack Roll: +6, range 120 ft. Hit: 14 (2d10 + 3) Force damage."","""",""Eldritch Overload. Trigger: The eddy takes damage. Response—Strength Saving Throw: DC 14, each creature of the eddy's choice in a 5-foot Emanation originating from the eddy. Failure: 7 (2d6) Force damage, and the target has the Prone condition."","""","""","""","""",""Urban"",""""";;;;;;;
"Eldritch Horror Hatchling,""KftGV"",""24"",""Large"",""Monstrosity"",""unaligned"",""14 (natural armor), 11 while prone"",""39 (6d10 + 6)"",""30 ft., Burrow 10 ft."",""17"",""11"",""13"",""1"",""13"",""6"","""","""","""","""","""","""",""Darkvision 60 ft., Tremorsense 60 ft., passive Perception 11"",""—"",""2 (XP 450";" PB +2)"","""",""Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 3 (1d6) poison damage. If the target is a Large or smaller creature, it is grappled (escape DC 13). Until this grapple ends, the eldritch horror hatchling can bite only the grappled creature and has advantage on attack rolls to do so.";;;;;;
;;;;;;;
"Acid Spray (Recharge 6). The eldritch horror hatchling spits acid in a line that is 30 feet long and 5 feet wide, provided that it has no creature grappled. Each creature in that line must make a DC 13 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one."","""","""","""","""","""","""","""",""""";;;;;;;
"Eldritch Lich,""MCV1SC"",""6"",""Medium"",""Undead"",""neutral evil"",""17 (natural armor)"",""165 (22d8 + 66)"",""30 ft., Fly 30 ft. (hover)"",""11"",""18"",""16"",""19"",""14"",""12"",""Int +9, Wis +7"",""Arcana +14, Perception +7"","""",""necrotic, poison"","""",""charmed, exhaustion, frightened, paralyzed, poisoned"",""Truesight 120ft., passive Perception 17"",""Common, Deep Speech, telepathy 120 ft."",""15 (XP 13.000";" PB +5)"",""Far Realm Parasite. Inside the lich's torso dwells a wormlike parasite that contains the lich's soul. When the lich dies, it implodes into the parasite, which then vanishes into the Far Realm. In 2d4 days, the parasite causes the lich to reappear within 1d4 miles of where it died. If the lich died inside a magic circle cast to contain Undead, the lich instead reappears as an otyugh with all the lich's memories.";;;;;;
;;;;;;;
Legendary Resistance (4/Day). If the lich fails a saving throw, it can choose to succeed instead.;;;;;;;
;;;;;;;
"Unusual Nature. The lich doesn't need air, food, drink, or sleep."",""Multiattack. The lich makes one Parasitic Tentacle attack or uses Spellcasting. The lich also uses Psychic Whisper twice.";;;;;;;
;;;;;;;
Parasitic Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one creature. Hit: 25 (6d6 + 4) piercing damage plus 25 (6d6 + 4) necrotic damage. The target must succeed on a DC 17 Constitution saving throw or be poisoned. The poisoned target can repeat the save at the end of each of its turns, ending the effect on itself on a success. The third time the target fails the save, the target dies and dissolves into a gibbering mouther that obeys the lich and uses the target's initiative.;;;;;;;
;;;;;;;
Psychic Whisper. The lich targets one creature it can see within 120 feet of itself. The target must succeed on a DC 17 Wisdom saving throw or take 25 (6d6 + 4) psychic damage and be stunned until the end of the lich's next turn as incomprehensible whispers fill the target's mind.;;;;;;;
;;;;;;;
Spellcasting. The lich casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 17):;;;;;;;
;;;;;;;
At will: detect magic, mage hand, prestidigitation;;;;;;;
;;;;;;;
2/day each: dispel magic, hunger of Hadar, lightning bolt;;;;;;;
;;;;;;;
"1/day each: arcane eye, dimension door, plane shift (self only)"","""",""Far Realm Step. Immediately after taking damage, the lich, along with any equipment it is wearing or carrying, magically teleports up to 60 feet to an unoccupied space it can see."","""","""","""","""","""",""""";;;;;;;
