"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Tlexolotl","JttRC","119","Enorme","Elemental","neutral","15 (armadura natural)","104 (11d12+33)","40 pies.","25","10","17","7","13","9","","","","","fuego, veneno","paralizado, petrificado, envenenado","Darkvision 120 pies, Tremorsense 120 pies, Percepción pasiva 11","Ignacio","10 (PX 5.900; PB +4)","Aura de fuego. Al comienzo de cada uno de los turnos del tlexolotl, cada criatura en un radio de 10 pies de él sufre 7 (2d6) de daño por fuego, y los objetos inflamables en esa aura que no se usan ni se transportan se encienden. Una criatura que toca al tlexolotl o lo golpea con un ataque cuerpo a cuerpo mientras se encuentra a 5 pies de él sufre 7 (2d6) de daño por fuego.

Iluminación. El tlexolotl arroja luz brillante en un radio de 30 pies y luz tenue en otros 30 pies.

Regeneración. El tlexolotl recupera 10 puntos de vida al inicio de su turno. Si el tlexolotl sufre daño por frío o se sumerge en agua, este rasgo no funciona al comienzo del siguiente turno del tlexolotl. El tlexolotl muere sólo si comienza su turno con 0 puntos de vida y no se regenera.","Multiataque. El tlexolotl realiza un ataque de Mordisco y otro de Cola.

Morder. Ataque con arma cuerpo a cuerpo: +11 para impactar, alcance 10 pies, un objetivo. Impacto: 12 (1d10 + 7) de daño perforante más 18 (4d8) de daño por fuego.

Cola. Ataque con arma cuerpo a cuerpo: +11 para impactar, alcance 10 pies, un objetivo. Impacto: 11 (1d8 + 7) de daño contundente más 14 (4d6) de daño por fuego. Si el objetivo es una criatura Grande o más pequeña, debe superar una tirada de salvación de Fuerza CD 19 o ser empujado hasta 10 pies de distancia del tlexolotl y derribado.

Piroclasma (Recarga 5–6). Gotas de lava fundida brotan del cuerpo del tlexolotl. Cada criatura en una esfera de 30 pies de radio centrada en el tlexolotl debe realizar una tirada de salvación de Destreza CD 15. En una tirada de salvación fallida, una criatura sufre 21 (6d6) de daño por fuego y 21 (6d6) de daño contundente. Con una tirada de salvación exitosa, una criatura sufre la mitad de daño.","","","","","","","",""
"Tlincalli","MPMM","242","Grande","Monstruosidad","neutral","15 (armadura natural)","85 (10d10+30)","40 pies.","16","13","16","8","12","8","","Percepción +4, Sigilo +4, Supervivencia +4","","","","","Visión oscura 60 pies, percepción pasiva 14","Tlincalli","5 (PX 1.800; PB +3)","","Multiataque. El tlincalli realiza un ataque de espada larga o cadena con púas y un ataque de aguijón.

Espada larga. Ataque con arma cuerpo a cuerpo: +6 para impactar, alcance 5 pies, un objetivo. Impacto: 7 (1d8 + 3) de daño cortante, u 8 (1d10 + 3) de daño cortante si se usa con las dos manos.

Cadena con púas. Ataque con arma cuerpo a cuerpo: +6 para impactar, alcance 10 pies, un objetivo. Impacto: 6 (1d6 + 3) de daño perforante y el objetivo queda apresado (escapar CD 11) si es una criatura grande o más pequeña. Hasta que termine esta lucha, el objetivo está inmovilizado y el tlincalli no puede usar la cadena con púas contra otro objetivo.

Picadura. Ataque con arma cuerpo a cuerpo: +6 para golpear, alcance 5 pies, una criatura. Impacto: 6 (1d6 + 3) de daño perforante más 14 (4d6) de daño por veneno, y el objetivo debe superar una tirada de salvación de Constitución CD 14 o quedará envenenado durante 1 minuto. Si falla la tirada de salvación por 5 o más, el objetivo también queda paralizado mientras está envenenado. El objetivo puede repetir la tirada de salvación al final de cada uno de sus turnos, finalizando el efecto sobre sí mismo si tiene éxito.","","","","","","","Desierto",""
"Tlincalli","VGM","193","Grande","Monstruosidad","mal neutral","15 (armadura natural)","85 (10d10+30)","40 pies.","16","13","16","8","12","8","","Percepción +4, Sigilo +4, Supervivencia +4","","","","","Visión oscura 60 pies, percepción pasiva 14","Tlincalli","5 (PX 1.800; PB +3)","","Multiataque. El tlincalli realiza dos ataques: uno con su espada larga o cadena de púas y otro con su aguijón.

Espada larga. Ataque con arma cuerpo a cuerpo: +6 para impactar, alcance 5 pies, un objetivo. Impacto: 7 (1d8 + 3) de daño cortante, u 8 (1d10 + 3) de daño cortante si se usa con las dos manos.

Cadena con púas. Ataque con arma cuerpo a cuerpo: +6 para impactar, alcance 10 pies, un objetivo. Impacto: 6 (1d6 + 3) de daño perforante y el objetivo queda apresado (escapar CD 11) si es una criatura grande o más pequeña. Hasta que termine esta lucha, el objetivo está inmovilizado y el tlincalli no puede usar la cadena con púas contra otro objetivo.

Picadura. Ataque con arma cuerpo a cuerpo: +6 para golpear, alcance 5 pies, una criatura. Impacto: 6 (1d6 + 3) de daño perforante más 14 (4d6) de daño por veneno, y el objetivo debe superar una tirada de salvación de Constitución CD 14 o quedará envenenado durante 1 minuto. Si falla la tirada de salvación por 5 o más, el objetivo también queda paralizado mientras está envenenado. El objetivo puede repetir la tirada de salvación al final de cada uno de sus turnos, finalizando el efecto sobre sí mismo si tiene éxito.","","","","","","","Desierto",""
"Tloques-Popolocas","TftYP","68","Mediano","No-muertos","mal neutral","15 (armadura natural)","82 (11d8 + 33)","30 pies.","16","16","16","11","10","12","Des +6, Sab +3","Percepción +3, Sigilo +6","","necrótico; contundente, perforante y cortante de ataques no mágicos","","","Visión oscura 60 pies, percepción pasiva 13","Los idiomas que conoció en vida.","5 (PX 1.800; PB +3)","Cambiador de forma. Si el vampiro no está expuesto a la luz del sol o al agua corriente, puede usar su acción para polimorfarse en un murciélago diminuto o volver a su verdadera forma.

Mientras está en forma de murciélago, el vampiro no puede hablar, su velocidad al caminar es de 5 pies y tiene una velocidad de vuelo de 30 pies. Sus estadísticas, aparte de su tamaño y velocidad, no cambian. Todo lo que lleva puesto se transforma con él, pero nada de lo que lleva consigo. Vuelve a su verdadera forma si muere.

Lanzamiento de hechizos innatos. Tloques puede lanzar Retener a una persona (CD 14) a voluntad, sin necesidad de componentes, pero su objetivo debe poder verlo.

Regeneración. El vampiro recupera 10 puntos de vida al comienzo de su turno si tiene al menos 1 punto de vida y no está a la luz del sol ni a agua corriente. Si el vampiro recibe daño radiante o daño del agua bendita, este rasgo no funciona al comienzo del siguiente turno del vampiro.

Escalada de araña. El vampiro puede escalar superficies difíciles, incluso techos boca abajo, sin necesidad de realizar una prueba de habilidad.

Debilidades de los vampiros. El vampiro tiene los siguientes defectos:

Prohibición. El vampiro no puede entrar en una residencia sin la invitación de uno de los ocupantes.

Dañado por agua corriente. El vampiro sufre 20 daños por ácido cuando termina su turno en agua corriente.

Estaca al corazón. El vampiro es destruido si se le clava un arma perforadora de madera en el corazón mientras está incapacitado en su lugar de descanso.

Hipersensibilidad a la luz solar. El vampiro sufre 20 daños radiantes cuando comienza su turno a la luz del sol. Mientras está a la luz del sol, tiene desventaja en las tiradas de ataque y pruebas de habilidad.","Multiataque. El vampiro realiza dos ataques.

Garras. Ataque con arma cuerpo a cuerpo: +6 para golpear, alcance 5 pies, una criatura. Impacto: 8 (2d4 + 3) de daño cortante. En lugar de causar daño, el vampiro puede agarrar al objetivo y escapar CD 13.

Niños de la Noche (1/Día). El vampiro invoca mágicamente 2d4 enjambres de murciélagos, siempre que no haya salido el sol. Las criaturas llamadas llegan en 1d4 asaltos, actuando como aliados del vampiro y obedeciendo sus órdenes habladas. Las bestias permanecen durante 1 hora, hasta que el vampiro muera, o hasta que el vampiro las despida como acción adicional.

Hacha Berserker de Tloques +2. Ataque con arma cuerpo a cuerpo: +5 para impactar, alcance 5 pies, un objetivo. Impacto: 9 (1d8 + 5) de daño cortante.","","","","","","","",""
"Enano de la tumba","ToA","135","Mediano","No-muertos","maldad legal","14 (cuero con tachuelas)","45 (6d8 + 18)","30 pies.","15","14","16","10","13","15","","Percepción +3, Sigilo +4","","necrótico; contundente, perforante y cortante de ataques no mágicos que no son plateados","veneno","agotamiento, envenenado","Visión oscura 60 pies, percepción pasiva 13","Los idiomas que conoció en vida.","3 (XP 700; PB +2)","Sensibilidad a la luz solar. Mientras está a la luz del sol, el enano de la tumba tiene desventaja en las tiradas de ataque, así como en las pruebas de Sabiduría (Percepción) que dependen de la vista.","Multiataque. El enano de la tumba realiza dos ataques con espada larga o dos ataques con ballesta. Puede usar su Life Drain en lugar de un ataque con espada larga.

Drenaje de vida. Ataque con arma cuerpo a cuerpo: +4 para golpear, alcance 5 pies, una criatura. Impacto: 5 (1d6 + 2) de daño necrótico. El objetivo debe superar una tirada de salvación de Constitución CD 13 o su máximo de puntos de vida se reducirá en una cantidad igual al daño recibido. Esta reducción dura hasta que el objetivo finaliza un descanso prolongado. El objetivo muere si este efecto reduce su punto de vida máximo a 0. Un humanoide asesinado por este ataque se levanta 24 horas después como un zombi bajo el control del enano de la tumba, a menos que el humanoide vuelva a la vida o su cuerpo sea destruido. El enano de la tumba no puede tener más de doce zombis bajo su control al mismo tiempo.

Hacha de batalla. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 6 (1d8 + 2) de daño cortante, o 7 (1d10 + 2) de daño cortante si se usa con las dos manos.

Ballesta ligera. Ataque con arma a distancia: +4 al impacto, alcance 80/320 pies, un objetivo. Impacto: 6 (1d8 + 2) de daño perforante.","","","","","","","",""
"Guardián de la tumba","ToA","127","Mediano","Constructo","neutral","17","93 (11d8 + 44)","30 pies.","19","9","18","6","10","5","","","","","rayo, veneno; contundente, perforante y cortante con ataques no mágicos que no son adamantinos","encantado, agotamiento, asustado, paralizado, petrificado, envenenado","Visión en la oscuridad 60 pies, percepción pasiva 10","Entiende los idiomas de su creador pero no sabe hablar.","5 (PX 1.800; PB +3)","Aversión al fuego. Si el guardián de la tumba sufre daño por fuego, tiene desventaja en las tiradas de ataque y pruebas de habilidad hasta el final de su siguiente turno.

Enloquecido. Siempre que el guardián de la tumba comience su turno con 40 puntos de vida o menos, tira un d6. Con un 6, el guardián de la tumba se vuelve loco. En cada uno de sus turnos mientras está enloquecido, el guardián de la tumba ataca a la criatura más cercana que puede ver. Si no hay ninguna criatura lo suficientemente cerca para moverse y atacar, el guardián de la tumba ataca un objeto, con preferencia por un objeto más pequeño que él. Una vez que el guardián de la tumba se vuelve loco, continúa haciéndolo hasta que es destruido o recupera todos sus puntos de vida. El creador del golem, si se encuentra a 60 pies del enloquecido guardián de la tumba, puede intentar calmarlo hablando con firmeza y persuasión. El guardián de la tumba debe poder escuchar a su creador, quien debe realizar una acción para realizar una prueba de Carisma (Persuasión) CD 15. Si la prueba tiene éxito, el guardián de la tumba deja de estar loco. Si recibe daño mientras todavía tiene 40 puntos de vida o menos, el guardián de la tumba podría volverse loco nuevamente.

Forma inmutable. El guardián de la tumba es inmune a cualquier hechizo o efecto que altere su forma.

Absorción de rayos. Siempre que el guardián de la tumba es sometido a daño por rayo, no sufre daño y en su lugar recupera una cantidad de puntos de vida igual al daño causado por rayo.

Resistencia mágica. El guardián de la tumba tiene ventaja en las tiradas de salvación contra hechizos y otros efectos mágicos.

Armas mágicas. Los ataques con armas del golem son mágicos.","Multiataque. El guardián de la tumba realiza dos ataques con portazo.

Golpe. Ataque con arma cuerpo a cuerpo: +7 para impactar, alcance 5 pies, un objetivo. Impacto: 13 (2d8 + 4) de daño contundente.","","","","","","","",""
"Recolector de tumbas","IDRotF","310","Enorme","Constructo","neutral legal","17 (armadura natural)","207 (18d12+90)","30 pies, madriguera 10 pies.","22","10","21","14","14","11","","Percepción +6","","iluminación","frio, fuego","encantado, asustado","Vista ciega 240 pies (ciega más allá de este radio), percepción pasiva 16","Entiende lo común y lo poco común pero no habla, telepatía 60 pies.","10 (PX 5.900; PB +4)","Muerte petrificada. Un excavador de tumbas reducido a 0 puntos de vida se convierte en una estatua de piedra sin vida. Todo lo que lleva puesto o lleva no se transforma.

Sentir Magia. El excavador de tumbas siente la magia dentro de 30 pies de él y puede usar una acción para señalar la ubicación de cualquier criatura, objeto o área en ese rango que tenga magia. Este sentido traspasa barreras pero está bloqueado por una fina lámina de plomo.

Tunelero. El excavador de tumbas puede excavar roca sólida a la mitad de su velocidad de excavación y deja a su paso un túnel de 10 pies de ancho y 20 pies de alto.

Naturaleza inusual. El recolector de tumbas no necesita aire ni dormir.","Multiataque. El excavador de tumbas realiza dos ataques cuerpo a cuerpo con su mazo o con sus garras. Si golpea a la misma criatura con ambas garras, puede tirar de ella a 5 pies de su boca y realizar un ataque de mordisco contra ella.

Morder. Ataque con arma cuerpo a cuerpo: +10 para impactar, alcance 5 pies, un objetivo. Impacto: 22 (3d10 + 6) de daño cortante.

Garra. Ataque con arma cuerpo a cuerpo: +10 para golpear, alcance 10 pies, un objetivo. Impacto: 16 (3d6 + 6) de daño cortante.

Almádena. Ataque con arma cuerpo a cuerpo o a distancia: +10 para impactar, alcance 15 pies o alcance 30/120 pies, un objetivo. Impacto: 27 (6d6 + 6) de daño contundente o de fuerza (a elección del excavador de tumbas). Si se lanza, el martillo regresa al excavador de tumbas al final de su turno, aterrizando a los pies del excavador de tumbas si no tiene una mano libre para atrapar el arma.","","","","","","","",""
"Tommy dos colillas","RMBRE","18","Mediano","Humanoide (goblinoide)","mal caótico","16 (ocultar armadura, escudo)","27 (5d8 + 5)","30 pies.","15","14","13","21","11","9","","Sigilo +6, Supervivencia +2","","","","","Visión en la oscuridad 60 pies, percepción pasiva 10","común, duende","1 (XP 200; PB +2)","Bruto. Un arma cuerpo a cuerpo causa un dado extra de su daño cuando Tommy golpea con ella (incluido en el ataque).

Ataque sorpresa. Si Tommy sorprende a una criatura y la golpea con un ataque durante la primera ronda de combate, el objetivo recibe 7 (2d6) daños adicionales por el ataque.","Estrella de la mañana. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 11 (2d8 + 2) de daño perforante.

Jabalina. Ataque con arma cuerpo a cuerpo o a distancia: +4 para impactar, alcance 5 pies o alcance 30/120 pies, un objetivo. Impacto: 9 (2d6 + 2) de daño perforante en cuerpo a cuerpo o 5 (1d6 + 2) de daño perforante a distancia.","","","","","","","",""
"tonalli","JttRC","110","Mediano","Humanoide (enano)","neutral legal","13 (camisa de cadenas)","27 (5d8 + 5)","25 pies.","10","10","12","13","16","13","","Medicina +7, Persuasión +3, Religión +5","","veneno","","","Visión oscura 60 pies, percepción pasiva 13","Dos idiomas cualesquiera, enano","2 (PX 450; PB +2)","Divina Eminencia. Como acción adicional, Tonalli puede gastar un espacio de hechizo para hacer que sus ataques con armas cuerpo a cuerpo causen mágicamente 10 (3d6) de daño radiante adicional a un objetivo con un golpe. Este beneficio dura hasta el final del turno. Si Tonalli gasta un espacio de hechizo de 2º nivel o superior, el daño adicional aumenta en 1d6 por cada nivel por encima del 1º.

Resiliencia enana. Tonalli tiene ventaja en las tiradas de salvación contra el veneno y tiene resistencia contra el daño del veneno.

Lanzamiento de hechizos. Tonalli es un lanzador de conjuros de nivel 5. Su habilidad para lanzar hechizos es Sabiduría (salvación de hechizos CD 13, +5 para golpear con ataques de hechizos). Tonalli tiene preparados los siguientes hechizos de clérigo:

Cantrips (a voluntad): luz, llama sagrada, taumaturgia

1er nivel (4 espacios): curar heridas, Rayo guiado, Santuario

2do nivel (3 espacios): Restauración menor, Arma espiritual

3er nivel (2 espacios): Disipar magia, Espiritus guardianes","Maza. Ataque con arma cuerpo a cuerpo: +2 al impacto, alcance 5 pies, un objetivo. Impacto: 3 (1d6) de daño contundente.","","","","","","","",""
"Diente y garra","SLW","undefined","Mediano","Demonio","maldad legal","15 (armadura natural)","45 (7d8 + 14)","50 pies.","17","12","14","6","13","6","","Percepción +5","","","frío","","Visión oscura 60 pies, percepción pasiva 15","Entiende Infernal pero no puede hablarlo.","3 (XP 700; PB +2)","Audición y olfato agudos. Tooth-N-Claw tiene ventaja en las pruebas de Sabiduría (Percepción) que dependen del oído o del olfato.

Tácticas de manada. Tooth-N-Claw tiene ventaja en una tirada de ataque contra una criatura si al menos uno de sus aliados está a 5 pies de la criatura y el aliado no está incapacitado.","Morder. Ataque con arma cuerpo a cuerpo: +5 para impactar, alcance 5 pies, un objetivo. Impacto: 7 (1d8 + 3) de daño perforante más 7 (2d6) de daño por frío.

Aliento helado (recarga 5-6). Tooth-N-Claw exhala una explosión helada en un cono de 15 pies. Cada criatura en esa área debe realizar una tirada de salvación de Destreza CD 12, recibiendo 21 (6d6) de daño por frío si falla, o la mitad de daño si tiene éxito.","","","","","","","",""
"Dragón topacio Wyrmling","FTD","223","Mediano","Dragón (Gema)","neutral caótico","16 (armadura natural)","33 (6d8 + 6)","30 pies, volar 60 pies, nadar 30 pies.","15","12","13","14","13","14","Des +3, Con +3, Sab +3, Car +4","Intimidación +6, Percepción +5, Sigilo +3","","frío, necrótico","","","Vista ciega 10 pies, Visión en la oscuridad 120 pies, Percepción pasiva 15","dracónico","2 (PX 450; PB +2)","Anfibio. El dragón puede respirar tanto aire como agua.","Morder. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 7 (1d10 + 2) de daño perforante más 2 (1d4) de daño necrótico.

Aliento desecante (recarga 5-6). El dragón exhala energía necrótica amarillenta en un cono de 15 pies. Cada criatura en esa área debe realizar una tirada de salvación de Constitución CD 11. Si falla la salvación, la criatura sufre 21 (6d6) de daño necrótico y queda debilitada hasta el final de su siguiente turno. Una criatura debilitada tiene desventaja en las pruebas de habilidad basadas en la Fuerza y ​​en las tiradas de salvación de Fuerza, y los ataques con armas de la criatura que dependen de la Fuerza causan la mitad del daño. Con una salvación exitosa, la criatura sufre la mitad de daño y no queda debilitada.

Lanzamiento de hechizos (psiónica). El dragón lanza uno de los siguientes hechizos, que no requiere componentes de hechizo y usa Inteligencia como habilidad de lanzamiento de hechizos (salvación de hechizo CD 12):

1/día: Perdición","","","","","","","",""
"Gran vermis de topacio","FTD","201","Gigantesco","Dragón (Gema)","neutral","21 (armadura natural)","507 (26d20 + 234)","60 pies, madriguera 60 pies, volar 120 pies (flotar), nadar 60 pies.","28","14","29","30","24","25","Des +10, Con +17, Sab +15, Car +15","Arcanos +26, Historia +18, Percepción +15","","","necrótico","encantado, asustado, envenenado, propenso","Truesight 120 pies, percepción pasiva 25","Común, Dracónico","26 (PX 90.000; PB +8)","Despertar de Gemas (Recarga después de un Descanso Corto o Largo). Si la gran vermis se redujera a 0 puntos de vida, su total de puntos de vida actual se restablece a 400 puntos de vida, recarga su arma de aliento y recupera cualquier uso gastado de resistencia legendaria. Además, el granwyrm ahora puede usar su acción Mass Telequinesis durante la próxima hora. Otorga a un grupo 90 000 XP adicionales (180 000 XP en total) por derrotar al gran dragón después de que se active su Despertar de gemas.

Resistencia legendaria (4/día). Si la gran vermis falla una tirada de salvación, puede optar por tener éxito.

Naturaleza inusual. El granwyrm no requiere comida ni bebida.","Multiataque. El granwyrm realiza un ataque de Mordisco y dos ataques de Garra.

Morder. Ataque con arma cuerpo a cuerpo: +17 para impactar, alcance 15 pies, un objetivo. Impacto: 20 (2d10 + 9) de daño perforante más 16 (3d10) de daño de fuerza.

Garra. Ataque con arma cuerpo a cuerpo: +17 para impactar, alcance 10 pies, un objetivo. Impacto: 18 (2d8 + 9) de daño cortante. Si el objetivo es una criatura enorme o más pequeña, es apresada (escapar CD 19) y restringida hasta que esta presa termine. El granwyrm sólo puede tener una criatura apresada de esta manera a la vez.

Arma de aliento (recarga 5–6). El gran dragón exhala una fuerza aplastante en un cono de 300 pies. Cada criatura en esa área debe realizar una tirada de salvación de Destreza CD 25. Si falla la salvación, la criatura sufre 71 (11d12) de daño de fuerza y ​​queda derribada. Con una salvación exitosa, recibe la mitad de daño y no queda derribado. Con éxito o fracaso, la velocidad de la criatura se vuelve 0 hasta el final de su siguiente turno.

Telequinesis masiva (solo despertar de gemas; recargas después de un descanso corto o largo). El granwyrm apunta a cualquier cantidad de criaturas y objetos que pueda ver a menos de 120 pies de él. Ningún objetivo puede pesar más de 4000 libras y no se pueden apuntar objetos si se están usando o transportando. Cada criatura objetivo debe superar una tirada de salvación de Fuerza CD 26 o quedar restringida por el control telequinético de la gran sierpe. Al final del turno de una criatura, puede repetir la tirada de salvación, finalizando el efecto sobre sí misma si tiene éxito.

Al final del turno del granwyrm, puede mover cada criatura u objeto que tiene bajo su control telequinético hasta 60 pies en cualquier dirección, pero no más allá de 120 pies de sí mismo. Además, puede elegir cualquier número de criaturas restringidas de esta manera e infligir 45 (7d12) de daño de fuerza a cada una de ellas.

Lanzamiento de hechizos (psiónica). El gran vermis lanza uno de los siguientes hechizos, sin requerir componentes de hechizo y usando Inteligencia como habilidad de lanzamiento de hechizos (salvación de hechizo CD 26, +18 para golpear con ataque de hechizo):

1/día cada uno: Disipar magia, Jaula de fuerza, Cambio de plano, Gravedad inversa, Parar el tiempo","Cambiar forma. El granwyrm se transforma mágicamente en cualquier criatura que sea Mediana o Pequeña, conservando sus estadísticas de juego (aparte de su tamaño). Esta transformación finaliza si la gran vermis se reduce a 0 puntos de vida o usa una acción adicional para finalizarla.

Paso Psíquico. El granwyrm se teletransporta mágicamente a un espacio desocupado que puede ver a 60 pies de él.","","Garra. El granwyrm realiza un ataque de Garra.

Psionica (Cuesta 2 Acciones). El granwyrm usa Paso psíquico o Lanzamiento de hechizos.

Haz Psíquico (Cuesta 3 Acciones). El gran dragón emite un rayo de energía psíquica en una línea de 90 pies y 10 pies de ancho. Cada criatura en esa área debe realizar una tirada de salvación de Inteligencia CD 26, recibiendo 27 (5d10) de daño psíquico si falla, o la mitad de daño si tiene éxito.","","","","",""
"topi","TTP","22","Pequeño","No-muertos","mal caótico","13 (armadura natural)","13 (3d6 + 3)","30 pies.","7","15","12","6","10","5","","","","contundente","veneno","envenenado","Visión en la oscuridad 60 pies, percepción pasiva 10","Entiende los idiomas que conoció en vida pero que no sabe hablar.","1/2 (PX 100; PB +2)","Resistencia al giro. El topi tiene ventaja en las tiradas de salvación contra cualquier efecto que convierta a los no-muertos.

Fortaleza de los no-muertos. Si el daño reduce el topi a 0 puntos de vida, debe realizar una tirada de salvación de Constitución con una CD de 5+el daño recibido, a menos que el daño sea radiante o de un golpe crítico. En caso de éxito, el topi cae a 1 punto de vida.","Garras venenosas. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 4 (1d4 + 2) de daño cortante más 2 (1d4) de daño por veneno, y el objetivo debe superar una tirada de salvación de Constitución CD 11 o quedará envenenado hasta el final del siguiente turno del objetivo.","","","","","","","",""
"Topola","LoX","27","Mediano","Humanoide (cualquier raza)","bien caótico","12 (15 con armadura de mago)","40 (9d8)","30 pies.","9","14","11","17","12","11","Int +6, Sab +4","Arcanos +6, Historia +6","","","","","Percepción pasiva 11","Cuatro idiomas cualesquiera","6 (PX 2.300; PB +3)","Lanzamiento de hechizos. Topolah es un lanzador de conjuros de nivel 9. Su habilidad para lanzar hechizos es Inteligencia (salvación de hechizos CD 14, +6 para golpear con ataques de hechizos). Topolah tiene preparados los siguientes hechizos de mago:

Trucos (a voluntad): Rayo de fuego, Luz, Mano de mago, Prestidigitación

1er nivel (4 espacios): Detectar magia, Armadura de mago, Misil mágico, Escudo

2do nivel (3 espacios): paso brumoso, Sugestion

3er nivel (3 espacios): Contrahechizo, bola de fuego, Volar

4to nivel (3 espacios): Invisibilidad mayor, Tormenta de hielo

5to nivel (1 espacio): cono de frío","Daga. Ataque con arma cuerpo a cuerpo o a distancia: +5 para impactar, alcance 5 pies o alcance 20/60 pies, un objetivo. Impacto: 4 (1d4 + 2) de daño perforante.","","","","","","","",""
"revuelto","OotA","8","Pequeño","Humanoide (gnomo)","maldad legal","12","33 (6d8 + 6)","20 pies.","10","15","12","11","10","8","","Percepción +2, Sigilo +4","","","contundente, perforante y cortante de ataques no mágicos que no son plateados","","Visión oscura 120 pies, percepción pasiva 12","Gnómico, Terran, Infracomún","2 (PX 450; PB +2)","Cambiador de forma. Topsy puede usar su acción para polimorfarse en un híbrido rata-humanoide o en una rata gigante, o volver a su verdadera forma, que es humanoide. Sus estadísticas, aparte de su tamaño, son las mismas en cada formulario. Cualquier equipo que lleve o lleve puesto no se transforma. Vuelve a su verdadera forma si muere.

Gnomo astuto. Topsy tiene ventaja en todas las tiradas de salvación de Inteligencia, Sabiduría y Carisma contra la magia.

Lanzamiento de hechizos innatos. La habilidad innata de Topsy para lanzar hechizos es la Inteligencia (salvación de hechizos CD 10). Topsy puede lanzar de forma innata los siguientes hechizos, que no requieren componentes materiales:

A voluntad: No detección (solo uno mismo)

1/día cada uno: Ceguera/Sordera, Difuminar, Disfrazarse

Olor agudo. Topsy tiene ventaja en las pruebas de Sabiduría (Percepción) que dependen del olfato.

Camuflaje de piedra. Topsy tiene ventaja en las pruebas de Destreza (Sigilo) para esconderse en terreno rocoso.","Multiataque (solo forma humana o híbrida). Topsy realiza dos ataques, de los cuales sólo uno puede ser un mordisco.

Mordedura (solo forma de rata o híbrida). Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 4 (1d4 + 2) de daño perforante. Si el objetivo es un humanoide, debe superar una tirada de salvación de Constitución CD 11 o será maldecido con la licantropía de hombre rata.

Espada corta (solo forma humanoide o híbrida). Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 5 (1d6 + 2) de daño perforante.

Ballesta de mano (solo forma humanoide o híbrida). Ataque con arma a distancia: +4 al impacto, alcance 30/120 pies, un objetivo. Impacto: 5 (1d6 + 2) de daño perforante.","","","","","","","",""
"Torbita","WDMM","115","Mediano","Humanoide (Bullywug)","mal caótico","15 (cuero con tachuelas)","78 (12d8 + 24)","30 pies.","11","16","14","13","11","10","Des +6, Int +4","Acrobacia +6, Engaño +3, Percepción +3, Sigilo +9","","veneno","","","percepción pasiva 13","El canto de los ladrones más dos idiomas cualesquiera, Bullywug","8 (PX 3.900; PB +3)","Anfibio. Torbit puede respirar aire y agua.

Asesinar. Durante su primer turno, Torbit tiene ventaja en las tiradas de ataque contra cualquier criatura que no haya tomado un turno. Cualquier golpe que Torbit obtenga contra una criatura sorprendida es un golpe crítico.

Evasión. Si Torbit está sujeto a un efecto que le permite realizar una tirada de salvación de Destreza para recibir solo la mitad del daño, Torbit no recibe daño si tiene éxito en la tirada de salvación, y solo la mitad del daño si falla.

Ataque furtivo (1/Turno). Torbit causa 14 (4d6) de daño adicional cuando golpea a un objetivo con un ataque con arma y tiene ventaja en la tirada de ataque, o cuando el objetivo está a 5 pies de un aliado de Torbit que no está incapacitado y Torbit no tiene desventaja en la tirada de ataque.

Salto de pie. El salto de longitud de Torbit es de hasta 20 pies y su salto de altura es de hasta 10 pies, con o sin carrera.

Camuflaje de pantano. Torbit tiene ventaja en las pruebas de Destreza (Sigilo) realizadas para esconderse en terrenos pantanosos.","Multiataque. Torbit realiza dos ataques con espada corta.

Espada corta. Ataque con arma cuerpo a cuerpo: +6 para impactar, alcance 5 pies, un objetivo. Impacto: 6 (1d6 + 3) de daño perforante, y el objetivo debe realizar una tirada de salvación de Constitución CD 15, recibiendo 24 (7d6) de daño por veneno si falla, o la mitad de daño si tiene éxito.

Ballesta ligera. Ataque con arma a distancia: +6 para impactar, alcance 80/320 pies, un objetivo. Impacto: 7 (1d8 + 3) de daño perforante, y el objetivo debe realizar una tirada de salvación de Constitución CD 15, recibiendo 24 (7d6) de daño por veneno si falla, o la mitad de daño si tiene éxito.","","","","","","","",""
