Name,Source,Page,Rarity,Type,Attunement,Damage,Properties,Mastery,Weight,Value,Text
Druidic Focus,PHB'24,225,ninguno,Spellcasting Focus,,,,,,,"A Druidic Focus recibe a specific form and is carved, tied with ribbon, or painted to channel primal magic. A Druid or Ranger can use such an object as a Spellcasting Focus.

Multiple variations of this item exist, as listed below:

Sprig of mistletoeWooden staffYew varita"
Drum,PHB'24,221,ninguno,Instrument,,,,,3 lb.,6 GP,"Ability: Charisma

Utilize: Play a known tune (DC 10), or improvise a song (DC 15)

If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
Dulcimer,PHB'24,221,ninguno,Instrument,,,,,10 lb.,25 GP,"Ability: Charisma

Utilize: Play a known tune (DC 10), or improvise a song (DC 15)

If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
Dungeoneer's Pack,PHB'24,225,ninguno,Adventuring Gear,,,,,55 lb.,12 GP,"A Dungeoneer's Pack contains the following items: Backpack, Caltrops, Crowbar, 2 flasks of Oil, 10 days of Rations, Rope, Tinderbox, 10 Torches, and Waterskin."
Duplicitous Manuscript,TCE,126,raro,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Wizard,,,,3 lb.,,"To you, this book is a magical spellbook. To anyone else, the book appears to be a volume of verbose romance fiction. As an action, you can change the book's appearance and alter the plot of the romance.

When found, the book contains the following spells: hallucinatory terrain, major image, mirror image, mislead, Nystul's magic aura, phantasmal force, and silent image. It functions as a spellbook for you.

While you are holding the book, you can use it as a spellcasting focus for your wizard spells.

The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it:

If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the illusion school.When a creature you can see makes an Intelligence (Investigation) check to discern the true nature of an illusion spell you cast, or makes a tirada de salvacion against an illusion spell you cast, you can use your reaction and expend 1 charge to impose disadvantage on the roll."
Duskcrusher,EGW,266,muy raro,"arma (Warhammer), Martial arma, Melee arma",requiere sintonia,1d8 Radiant,versatile (1d10),,2 lb.,,"This item recibe the form of a leather-wrapped metal vara emblazoned with the symbol of Pelor, the Dawn Father. While grasping the vara, you can use a bonus action to cause a warhammer head of crackling radiance to spring into existence. The warhammer's radiant head emits bright light in a 15-foot radius and dim light for an additional 15 pies. The light is sunlight. You can use an action to make the radiant head disappear.

While the radiant head is active, you gain a +2 bonus to attack and dano rolls made with this magic arma, and attacks with the arma deal radiant dano instead of bludgeoning dano. An No muerto creature hit by the arma recibe an extra 1d8 radiant dano.

While you are holding Duskcrusher and its radiant head is active, you can use an action to cast the sunbeam spell (save DC 15) from the arma, and this action can't be used again until the next dawn.

Versatile. This arma can be used with one or two hands. A dano value in parentheses appears with the property—the dano when the arma is used with two hands to make a melee attack."
Dust of Corrosion,WBtW,209,poco comun,objeto maravilloso,,,,,,,"As an action, you can throw this dust into the air, filling a 10-foot cube that extends out from you. Surfaces and objects made of nonmagical ferrous metal in the area instantly corrode and turn to dust, becoming useless and unsalvageable. Any creature in the area that is made wholly or partly out of ferrous metal must make a DC 13 Constitution tirada de salvacion, taking 4d8 necrotic dano on a failed save, or half as much dano on a successful one.

Found in a Pequeno packet, this dust is made from finely ground rust monster antennae. There is enough dust in each packet for one use."
Dust of Deliciousness,EGW,267,poco comun,objeto maravilloso,,,,,,,This reddish brown dust can be sprinkled over any edible substance to greatly improve the flavor. The dust also dulls the eater's senses: anyone eating food treated with this dust has disadvantage on Wisdom ability checks and Wisdom Tiradas de salvacion for 1 hour. There is enough dust to flavor six servings.
Dust of Disappearance,DMG'24,255,poco comun,objeto maravilloso,,,,,,,"This powder resembles fine sand. There is enough of it for one use. When you take a Utilize action to throw the dust into the air, you and cada criatura and object within a 10-foot Emanation originating from you have the invisible condition for 2d4 minutes. The Duracion is the same for all subjects, and the dust is consumed when its magic recibe effect. Immediately after an affected creature makes an attack roll, deals dano, or casts a spell, the invisible condition ends for that creature."
Dust of Dryness,DMG'24,255,poco comun,objeto maravilloso,,,,,,,"This Pequeno packet contains 1d6 + 4 pinches of dust. As a Utilize action, you can sprinkle a pinch of the dust over water, turning up to a 15-foot Cube of water into one marble-sized pellet, which floats or rests near where the dust was sprinkled. The pellet's weight is negligible. A creature can take a Utilize action to smash the pellet against a hard surface, causing the pellet to shatter and release the water the dust absorbed. Doing so destroys the pellet and ends its magic.

As a Utilize action, you can sprinkle a pinch of the dust on an Elemental within 5 pies of yourself that is composed mostly of water (such as a Water Elemental or a Water Weird). Such a creature exposed to a pinch of the dust makes a DC 13 Constitution tirada de salvacion, taking 10d6 Necrotic dano on a failed save or half as much dano on a successful one."
Dust of Sneezing and Choking,DMG'24,255,poco comun,objeto maravilloso,,,,,,,"Found in a Pequeno container, this powder resembles Dust of Disappearance, and Identify reveals it to be such. There is enough of it for one use.

As a Utilize action, you can throw the dust into the air, forcing yourself and every creature in a 30-foot Emanation originating from you to make a DC 15 Constitution tirada de salvacion. Constructs, Elementals, Oozes, Plants, and No muerto succeed on the save automatically.

On a failed save, a creature begins sneezing uncontrollably; it has the incapacitado condition and is suffocating. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success. The effect also ends on any creature targeted by a Lesser Restoration spell."
Dwarven Plate,DMG'24,255,muy raro,Generic Variant,,,,,,,"While wearing this armadura, you gain a +2 bonus to armadura Class. In addition, if an effect moves you against your will along the ground, you can take a Reaction to reduce the distance you are moved by up to 10 pies.

Base items. This item variant can be applied to the following base items:

Half Plate armadura (Dwarven Half Plate armadura)Plate armadura (Dwarven Plate armadura)"
Dwarven Thrower,DMG'24,256,muy raro,"arma (Warhammer), Martial arma, Melee arma",requiere sintonia By a Dwarf or a Creature Attuned to a Belt of Dwarvenkind,1d8 Bludgeoning,"Thrown (20/60 pies), Versatile (1d10)",Mastery: Push,5 lb.,,"You gain a +3 bonus to attack rolls and dano rolls made with this magic arma. It has Thrown with a normal Alcance of 20 pies and a long Alcance of 60 pies. When you hit with a ranged attack using this arma, it deals an extra 1d8 Force dano, or an extra 2d8 Force dano if el objetivo is a Gigante. Immediately after hitting or missing, the arma flies back to your hand.

Thrown. If a arma has the Thrown property, you can throw the arma to make a ranged attack, and you can draw that arma as part of the attack. If the arma is a Melee arma, use the same ability modifier for the attack and dano rolls that you use for a melee attack with that arma.

Versatile. A Versatile arma can be used with one or two hands. A dano value in parentheses appears with the property. The arma deals that dano when used with two hands to make a melee attack.

Mastery: Push. If you hit a creature with this arma, you can push the creature up to 10 pies straight away from yourself if it is Grande or smaller."
Dyrrn's Tentacle Whip,ERLW,276,muy raro,"arma (Whip), Martial arma, Melee arma",requiere sintonia,1d4 Slashing,"finesse, reach",,3 lb.,,"This long, whip-like strand of tough muscle bears a sharp stinger at one end. To attune to this symbiotic arma, you wrap the whip around your wrist for the entire attunement period, during which time the whip painfully embeds its tendrils into your arm.

You gain a +2 bonus to attack and dano rolls made with this magic whip, but attack rolls made against aberrations with this arma have disadvantage. A creature hit by this arma recibe an extra 1d6 psychic dano. When you roll a 20 on the d20 for an attack roll with this arma, el objetivo is aturdido hasta el final de its next turn.

As a bonus action, you can sheathe the whip by causing it to retract into your arm, or draw the whip out of your arm again.

Symbiotic Nature. The whip can't be removed from you while you're attuned to it, and you can't voluntarily end your attunement to it. If you're targeted by a spell that ends a curse, your attunement to the whip ends, and it detaches from you.

Finesse. When making an attack with a finesse arma, you use your choice of your Strength or Dexterity modifier for the attack and dano rolls. You must use the same modifier for both rolls.

Reach. This arma adds 5 pies to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach arma."
Eagle Whistle,TftYP,228,raro,objeto maravilloso,,,,,1 lb.,,"While you blow an eagle whistle continuously, you can Volar twice as fast as your walking speed. You can blow the whistle continuously for a number of rounds equal to 5 + five times your Constitution modifier (minimum of 1 round) or until you talk, hold your breath, or start suffocating. A use of the whistle also ends if you land. If you are aloft when you stop blowing the whistle, you fall. The whistle has three uses. It regains expended uses daily at dawn."
Ear Horn of Hearing,DMG'24,256,comun,objeto maravilloso,,,,,,,"While held up to your ear, this horn suppresses the effects of the ensordecido condition on you."
Earring of Message,CRCotN,212,comun,objeto maravilloso,,,,,,,"The blue crystal of this earring is wrapped with delicate copper wire. The earring has 5 charges. While wearing it, you can use an action to expend 1 charge and cast the message spell. The earring regains 1d4 + 1 expended charges daily at dawn."
Earworm,ERLW,277,poco comun,objeto maravilloso,requiere sintonia,,,,,,"To attune to this symbiont, you must hold it against the skin behind your ear for the entire attunement period, whereupon it burrows into your head and bonds to your skull. While the earworm is inside you, you can speak, read, and write Habla profunda.

Spells. The earworm has 4 charges. You can cast the following spells from it, expending the necessary number of charges (CD de salvacion de conjuros 15): detect thoughts (2 charges) or dissonant whispers (1 charge). Each time you use the earworm to cast the detect thoughts spell, it sends the information gleaned to the nearest daelkyr, or to the next nearest earworm until it reaches a daelkyr.

The earworm regains 1d4 expended charges daily at dawn.

Symbiotic Nature. The earworm can't be removed from you while you're attuned to it, and you can't voluntarily end your attunement to it. If you're targeted by a spell that ends a curse, your attunement to the earworm ends, and it exits your body."
Efreeti Bottle,DMG'24,256,muy raro,objeto maravilloso,,,,,,,"When you take a Magic action to remove the stopper of this painted brass bottle, a cloud of thick smoke flows out of it. At the end of your turn, the smoke disappears with a flash of harmless fire, and an Efreeti appears in an unoccupied space within 30 pies of you.

The first time the bottle is opened, the DM rolls on the following table to determine what happens.

1d10Effect1The efreeti attacks you. After fighting for 5 rounds, the efreeti disappears, and the bottle loses its magic.2-9The efreeti understands your languages and obeys your commands for 1 hour, after which it returns to the bottle, and a new stopper contains it. The stopper can't be removed for 24 hours. The next two times the bottle is opened, the same effect occurs. If the bottle is opened a fourth time, the efreeti escapes and disappears, and the bottle loses its magic.10The efreeti understands your languages and can cast Wish once for you. It disappears when it grants the wish or after 1 hour, and the bottle loses its magic."
Efreeti Chain,DMG'24,257,legendario,Generic Variant,requiere sintonia,,,,,,"While wearing this armadura, you gain a +3 bonus to armadura Class, you have Immunity to Fire dano, and you know Primordial. In addition, you can stand on and move across molten rock as if it were solid ground.

Base items. This item variant can be applied to the following base items:

Chain Mail (Efreeti Chain Mail)Chain Shirt (Efreeti Chain Shirt)"
Elder Cartographer's Glossography,AI,20,poco comun,objeto maravilloso,,,,,,,"When you attain rank 4, you gain a Pequeno tome that is an uncommon magic item. The elder cartographer's glossography grants advantage on Intelligence or Wisdom checks related to geographical features or locations."
Eldritch Claw Tattoo,TCE,126,poco comun,objeto maravilloso (Tattoo),requiere sintonia,,,,,,"Produced by a special needle, this magic tattoo depicts claw-like forms and other jagged shapes.

Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.

If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space.

Magical Strikes. While the tattoo is on your skin, your unarmed strikes are considered magical for the purpose of overcoming immunity and resistance to nonmagical attacks, and you gain a +1 bonus to attack and dano rolls with unarmed strikes.

Eldritch Maul. As a bonus action, you can empower the tattoo for 1 minute. For the Duracion, each of your melee attacks with a arma or an unarmed strike can reach a target up to 15 pies away from you, as inky tendrils launch toward el objetivo. In addition, your melee attacks deal an extra 1d6 force dano on a hit. Once used, this bonus action can't be used again until the next dawn."
Eldritch baston,WBtW,209,muy raro,"baston, arma, Simple arma, Melee arma",requiere sintonia,1d6 Bludgeoning,versatile (1d8),,4 lb.,,"This baston can be wielded as a magic quarterstaff that grants a +1 bonus to attack and dano rolls made with it.

The baston has 10 charges and regains 1d6 + 4 expended charges daily at dawn. If you expend the last charge, roll a d20. On a 1, the baston is destroyed in an otherwise harmless burst of eldritch energy.

Eldritch Attack. When you hit with a melee attack using the baston, you can expend up to 3 of its charges. For each charge you expend, el objetivo recibe an extra 1d8 lightning dano.

Eldritch Escape. If you take dano while holding the baston, you can use your reaction to expend 3 of the baston's charges, whereupon you turn invisible and teleport yourself, along with any equipment you are wearing or carrying, up to 60 pies to an unoccupied space that you can see. You remain invisible until the start of your next turn or until you attack, cast a spell, or deal dano.

Versatile. This arma can be used with one or two hands. A dano value in parentheses appears with the property—the dano when the arma is used with two hands to make a melee attack."
Elemental Essence Shard,TCE,127,raro,objeto maravilloso,requiere sintonia By a Sorcerer,,,,1 lb.,,"This crackling crystal contains the essence of an Elemental plane. As an action, you can attach the shard to a Diminuto object (such as a arma or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.

Roll a d4 and consult the Elemental Essence Shards table to determine the shard's essence and property. When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use that property.

Elemental Essence Shardsd4ElementShard1AirElemental Essence Shard (Air)2EarthElemental Essence Shard (Earth)3FireElemental Essence Shard (Fire)4WaterElemental Essence Shard (Water)"
Elemental Essence Shard (Air),TCE,127,raro,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Sorcerer,,,,1 lb.,,"This crackling crystal contains the essence of an Elemental plane. As an action, you can attach the shard to a Diminuto object (such as a arma or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.

When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property:

Property. You can immediately Volar up to 60 pies without provoking opportunity attacks."
Elemental Essence Shard (Earth),TCE,127,raro,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Sorcerer,,,,1 lb.,,"This crackling crystal contains the essence of an Elemental plane. As an action, you can attach the shard to a Diminuto object (such as a arma or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.

When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property:

Property. You gain resistance to a dano type of your choice until the start of your next turn."
Elemental Essence Shard (Fire),TCE,127,raro,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Sorcerer,,,,1 lb.,,"This crackling crystal contains the essence of an Elemental plane. As an action, you can attach the shard to a Diminuto object (such as a arma or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.

When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property:

Property. un objetivo of the spell that you can see catches fire. The burning target recibe 2d10 fire dano at the start of its next turn, and then the flames go out."
Elemental Essence Shard (Water),TCE,127,raro,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Sorcerer,,,,1 lb.,,"This crackling crystal contains the essence of an Elemental plane. As an action, you can attach the shard to a Diminuto object (such as a arma or a piece of jewelry) or detach it. It falls off if your attunement to it ends. You can use the shard as a spellcasting focus while you hold or wear it.

When you use a Metamagic option on a spell while you are holding or wearing the shard, you can use the following property:

Property. You create a wave of water that bursts out from you in a 10-foot radius. cada criatura of your choice that you can see in that area recibe 2d6 cold dano and debe superar a Strength tirada de salvacion against your CD de salvacion de conjuros o quedar pushed 10 pies away from you and fall derribado."
Elemental Gem,DMG'24,257,poco comun,objeto maravilloso,,,,,,,"Multiple variations of this item exist, as listed below:

Elemental Gem, Blue SapphireElemental Gem, EmeraldElemental Gem, Red CorundumElemental Gem, Yellow Diamond"
"Elemental Gem, Blue Sapphire",DMG'24,257,poco comun,objeto maravilloso,,,,,,,"This gem contains a mote of Elemental energy. When you take a Utilize action to break the gem, an Air Elemental is summoned, and the gem ceases to be magical. The Elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and recibe its turn immediately after you on your Initiative count. The Elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
"Elemental Gem, Emerald",DMG'24,257,poco comun,objeto maravilloso,,,,,,,"This gem contains a mote of Elemental energy. When you take a Utilize action to break the gem, a Water Elemental is summoned, and the gem ceases to be magical. The Elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and recibe its turn immediately after you on your Initiative count. The Elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
"Elemental Gem, Red Corundum",DMG'24,257,poco comun,objeto maravilloso,,,,,,,"This gem contains a mote of Elemental energy. When you take a Utilize action to break the gem, a Fire Elemental is summoned, and the gem ceases to be magical. The Elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and recibe its turn immediately after you on your Initiative count. The Elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
"Elemental Gem, Yellow Diamond",DMG'24,257,poco comun,objeto maravilloso,,,,,,,"This gem contains a mote of Elemental energy. When you take a Utilize action to break the gem, an Earth Elemental is summoned, and the gem ceases to be magical. The Elemental appears in an unoccupied space as close to the broken gem as possible, understands your languages, obeys your commands, and recibe its turn immediately after you on your Initiative count. The Elemental disappears after 1 hour, when it dies, or when you dismiss it as a Bonus Action."
Elephant,PHB'24,229,ninguno,Mount,,"Speed: 40, Carrying Capacity: 1320 lb.",,,,200 GP,
Elixir of Health,DMG'24,257,raro,pocion,,,,,½ lb.,,"When you drink this pocion, you are cured of all magical contagions. In addition, the following conditions end on you: cegado, ensordecido, paralizado, and envenenado.

The clear, red liquid has Diminuto bubbles of light in it."
Elven Chain,DMG'24,257,raro,Generic Variant,,,,,,,"You gain a +1 bonus to armadura Class while you wear this armadura. You are considered trained with this armadura even if you lack training with Mediano or Heavy armadura.

Base items. This item variant can be applied to the following base items:

Chain Mail (Elven Chain Mail)Chain Shirt (Elven Chain Shirt)"
Elven Thrower,BGG,64,muy raro,"arma (Spear), Simple arma, Melee arma",requiere sintonia By a Elf,1d6 Piercing,"thrown (20/60 pies), versatile (1d8)",,3 lb.,,"You gain a +3 bonus to attack and dano rolls made with this magic arma. It has the thrown property with a normal Alcance of 20 pies and a long Alcance of 60 pies. When you hit with a ranged attack using this arma, it deals an extra 1d8 dano or, if el objetivo is a Gigante, 2d8 dano. Immediately after the attack, the arma flies back to your hand.

Thrown. If a arma has the thrown property, you can throw the arma to make a ranged attack. If the arma is a melee arma, you use the same ability modifier for that attack roll and dano roll that you would use for a melee attack with the arma. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property.

Versatile. This arma can be used with one or two hands. A dano value in parentheses appears with the property—the dano when the arma is used with two hands to make a melee attack."
Elven Trinket,MTF,64,ninguno,Adventuring Gear,,,,,,,"d8Trinket1A Pequeno notebook that causes anything written in it to disappear after 1 hour2A crystal lens made of ivory and gold that causes anything observed through it to appear to be surrounded by motes of multicolored light3A Pequeno golden pyramid inscribed with elven symbols and about the size of a walnut4A cloak pin made from enamel in the shape of a butterfly; when you take the pin off, it turns into a real butterfly, and returns when you are ready to put your cloak back on again5A golden compass that points toward the nearest portal to the Feywild within 10 miles6A Pequeno silver spinning top that, when spun, endlessly spins until interrupted7A Pequeno songbird made of enamel, gold wire, and precious stone; uttering the songbird's name in Elfico causes the trinket to emit that bird's birdsong8A Pequeno enamel flower that, when put in one's hair, animates, tying back the wearer's hair with a living vine with flowers; plucking a single flower from this vine returns it to its inanimate form"
Emblem,PHB'24,226,ninguno,Spellcasting Focus,,,,,,5 GP,"For an Emblem to be an effective Holy Symbol, it must be borne on fabric (such as a tabard or banner) or a escudo.

A Holy Symbol recibe a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus."
Emerald Enclave Trinket,FRHoF,156,ninguno,Adventuring Gear,,,,,,,Emerald Enclave Trinkets1d6Trinket1A pair of earrings made from oak leaves that never wilt2A miniature model cottage made of twigs3A green-glowing firefly in a bottle4A gourd that sounds like rustling leaves when held to one's ear5A preserved rabbit's foot on a leather strap6An antler shaped like an Elfico rune
Emerald Pen,FTD,23,poco comun,objeto maravilloso,,,,,,,"This pen is tipped with an emerald nib and requires no ink to write. While holding this pen, you can cast illusory script at will, requiring no material Componentes."
Enduring Spellbook,DMG'24,257,comun,objeto maravilloso,,,,,,,"This spellbook, along with anything written on its pages, can't be damaged by fire or water. In addition, the spellbook doesn't deteriorate with age."
Energy Bow,DMG'24,257,muy raro,Generic Variant,requiere sintonia,,,,,,"You gain a +1 bonus to attack rolls and dano rolls made with this magic arma, which has no string. Each time you pull your arm back in a firing motion, a magical arrow made of golden energy appears nocked and ready to fire. An arrow produced by this arma deals Force dano instead of Piercing dano on a hit, and it disappears after it hits or misses its target. Until it disappears, the arrow emits Bright Light in a 20-foot radius and Dim Light for an additional 20 pies.

This arma has the following additional properties.

Arrow of Restraint. Whenever you use this arma to make a ranged attack against a creature, you can try to restrain el objetivo instead of dealing dano to it. If the arrow hits, el objetivo debe superar a DC 15 Strength tirada de salvacion or have the apresado condition for 1 minute. As an action, a creature apresado by an arrow can make a DC 20 Strength (Athletics) check to try to break the restraint, ending the effect on itself on a successful check.

Arrow of Transport. As a Magic action, you can fire one energy arrow from this arma at a target you can see within 60 pies of yourself. el objetivo can be either a willing Mediano or smaller creature or an object that isn't being worn or carried, provided the object is Pequeno enough to fit inside a 5-foot Cube. The arrow teleports el objetivo to an unoccupied space you can see within 10 pies of you.

Energy Ladder. As a Magic action, you can loose a flurry of energy arrows from this arma at a wall up to 60 pies away from yourself. The arrows become glowing rungs that stick out of the wall, forming a magical ladder up to 60 pies long on the wall. This ladder lasts for 1 minute before disappearing.

Base items. This item variant can be applied to the following base items:

Longbow (Energy Longbow)Shortbow (Energy Shortbow)"
Enspelled armadura,DMG'24,258,variable,Generic Variant,requiere sintonia,,,,,,"Multiple variations of this item exist, as listed below:

Enspelled armadura (Cantrip)Enspelled armadura (Level 1)Enspelled armadura (Level 2)Enspelled armadura (Level 3)Enspelled armadura (Level 4)Enspelled armadura (Level 5)Enspelled armadura (Level 6)Enspelled armadura (Level 7)Enspelled armadura (Level 8)"
Enspelled armadura (Cantrip),DMG'24,258,poco comun,Generic Variant,requiere sintonia,,,,,,"Bound into this armadura is a cantrip. The cantrip is determined when the armadura is created and must belong to the Abjuration or Illusion school of magic. The armadura has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armadura, you can expend 1 charge to cast its spell.

The spell's tirada de salvacion DC is 13, and its attack bonus is +5.

Base items. This item variant can be applied to the following base items:

Breastplate (Enspelled (Cantrip) Breastplate)Chain Mail (Enspelled (Cantrip) Chain Mail)Chain Shirt (Enspelled (Cantrip) Chain Shirt)Half Plate armadura (Enspelled (Cantrip) Half Plate armadura)Hide armadura (Enspelled (Cantrip) Hide armadura)Leather armadura (Enspelled (Cantrip) Leather armadura)Padded armadura (Enspelled (Cantrip) Padded armadura)Plate armadura (Enspelled (Cantrip) Plate armadura)anillo Mail (Enspelled (Cantrip) anillo Mail)Scale Mail (Enspelled (Cantrip) Scale Mail)Splint armadura (Enspelled (Cantrip) Splint armadura)Studded Leather armadura (Enspelled (Cantrip) Studded Leather armadura)"
Enspelled armadura (Level 1),DMG'24,258,poco comun,Generic Variant,requiere sintonia,,,,,,"Bound into this armadura is a level 1 spell. The spell is determined when the armadura is created and must belong to the Abjuration or Illusion school of magic. The armadura has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armadura, you can expend 1 charge to cast its spell.

The spell's tirada de salvacion DC is 13, and its attack bonus is +5.

Base items. This item variant can be applied to the following base items:

Breastplate (Enspelled (Level 1) Breastplate)Chain Mail (Enspelled (Level 1) Chain Mail)Chain Shirt (Enspelled (Level 1) Chain Shirt)Half Plate armadura (Enspelled (Level 1) Half Plate armadura)Hide armadura (Enspelled (Level 1) Hide armadura)Leather armadura (Enspelled (Level 1) Leather armadura)Padded armadura (Enspelled (Level 1) Padded armadura)Plate armadura (Enspelled (Level 1) Plate armadura)anillo Mail (Enspelled (Level 1) anillo Mail)Scale Mail (Enspelled (Level 1) Scale Mail)Splint armadura (Enspelled (Level 1) Splint armadura)Studded Leather armadura (Enspelled (Level 1) Studded Leather armadura)"
Enspelled armadura (Level 2),DMG'24,258,raro,Generic Variant,requiere sintonia,,,,,,"Bound into this armadura is a level 2 spell. The spell is determined when the armadura is created and must belong to the Abjuration or Illusion school of magic. The armadura has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armadura, you can expend 1 charge to cast its spell.

The spell's tirada de salvacion DC is 13, and its attack bonus is +5.

Base items. This item variant can be applied to the following base items:

Breastplate (Enspelled (Level 2) Breastplate)Chain Mail (Enspelled (Level 2) Chain Mail)Chain Shirt (Enspelled (Level 2) Chain Shirt)Half Plate armadura (Enspelled (Level 2) Half Plate armadura)Hide armadura (Enspelled (Level 2) Hide armadura)Leather armadura (Enspelled (Level 2) Leather armadura)Padded armadura (Enspelled (Level 2) Padded armadura)Plate armadura (Enspelled (Level 2) Plate armadura)anillo Mail (Enspelled (Level 2) anillo Mail)Scale Mail (Enspelled (Level 2) Scale Mail)Splint armadura (Enspelled (Level 2) Splint armadura)Studded Leather armadura (Enspelled (Level 2) Studded Leather armadura)"
Enspelled armadura (Level 3),DMG'24,258,raro,Generic Variant,requiere sintonia,,,,,,"Bound into this armadura is a level 3 spell. The spell is determined when the armadura is created and must belong to the Abjuration or Illusion school of magic. The armadura has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armadura, you can expend 1 charge to cast its spell.

The spell's tirada de salvacion DC is 15, and its attack bonus is +7.

Base items. This item variant can be applied to the following base items:

Breastplate (Enspelled (Level 3) Breastplate)Chain Mail (Enspelled (Level 3) Chain Mail)Chain Shirt (Enspelled (Level 3) Chain Shirt)Half Plate armadura (Enspelled (Level 3) Half Plate armadura)Hide armadura (Enspelled (Level 3) Hide armadura)Leather armadura (Enspelled (Level 3) Leather armadura)Padded armadura (Enspelled (Level 3) Padded armadura)Plate armadura (Enspelled (Level 3) Plate armadura)anillo Mail (Enspelled (Level 3) anillo Mail)Scale Mail (Enspelled (Level 3) Scale Mail)Splint armadura (Enspelled (Level 3) Splint armadura)Studded Leather armadura (Enspelled (Level 3) Studded Leather armadura)"
Enspelled armadura (Level 4),DMG'24,258,muy raro,Generic Variant,requiere sintonia,,,,,,"Bound into this armadura is a level 4 spell. The spell is determined when the armadura is created and must belong to the Abjuration or Illusion school of magic. The armadura has 6 charges and regains 1d6 expended charges daily at dawn. While wearing the armadura, you can expend 1 charge to cast its spell.

The spell's tirada de salvacion DC is 15, and its attack bonus is +7.

Base items. This item variant can be applied to the following base items:

Breastplate (Enspelled (Level 4) Breastplate)Chain Mail (Enspelled (Level 4) Chain Mail)Chain Shirt (Enspelled (Level 4) Chain Shirt)Half Plate armadura (Enspelled (Level 4) Half Plate armadura)Hide armadura (Enspelled (Level 4) Hide armadura)Leather armadura (Enspelled (Level 4) Leather armadura)Padded armadura (Enspelled (Level 4) Padded armadura)Plate armadura (Enspelled (Level 4) Plate armadura)anillo Mail (Enspelled (Level 4) anillo Mail)Scale Mail (Enspelled (Level 4) Scale Mail)Splint armadura (Enspelled (Level 4) Splint armadura)Studded Leather armadura (Enspelled (Level 4) Studded Leather armadura)"
