"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Defensor","DMG'24","252","legendario","Variante genérica","Requiere sintonización","","","","","","Obtienes una bonificación de +3 a las tiradas de ataque y de daño realizadas con esta arma mágica.

La primera vez que atacas con el arma en cada uno de tus turnos, puedes transferir parte o la totalidad de la bonificación del arma a tu Clase de Armadura. Por ejemplo, podrías reducir la bonificación a tus tiradas de ataque y daño a +1 y obtener una bonificación de +2 a la clase de armadura. Las bonificaciones ajustadas permanecen vigentes hasta el comienzo de tu siguiente turno, aunque debes sostener el arma para obtener una bonificación a la CA.

Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:

Hacha de batalla (Hacha de batalla defensora)Club (Club defensor)Daga (Daga defensora)Mayal (Mayal defensor)Guja (Guja defensora)Gran hacha (Gran hacha defensora)Gran garrote (Gran garrote defensor)Espada grande (Espada magna defensora)Alabarda (Alabarda defensora)Hacha de mano (Hacha de mano defensora)Jabalina (Jabalina defensora)Lanza (Lanza del defensor) Martillo ligero (Martillo ligero del defensor) Espada larga (Espada larga del defensor) Maza (Maza del defensor) Mazo (Maza del defensor) Estrella del alba (Morningstar del defensor) Pica (Pica del defensor) Bastón (bastón del defensor) Estoque (Estoque del defensor) Cimitarra (Cimitarra del defensor) Espada corta (Espada corta del defensor) Hoz (Defensor) Hoz)Lanza (Lanza defensora)Tridente (Tridente defensor)Película de guerra (Pelección de guerra defensora)Warhammer (Martillo de guerra defensor)Látigo (Látigo defensor)"
"Dekella, Bidente de Thassa","MOT","199","artefacto","Arma (Tridente), Arma marcial, Arma cuerpo a cuerpo","Requiere sintonización","1d6 Perforación","lanzado (20/60 pies), versátil (1d8)","","4 lb.","","Thassa empuña Dekella, un arma de dos puntas que le regaló Purphoros. Cuando el dios del mar otorga su arma a un mortal, a menudo es para que pueda ejercer su voluntad lejos del océano, corregir algún error que afecta a aquellos a quienes preferiría no dañar o darle a un mortal una idea de sus terribles responsabilidades.

Bidente de las profundidades. El arma característica de Thassa vibra con las corrientes heladas de las profundidades del océano. Esta arma funciona como un tridente que otorga un bono de +3 a las tiradas de ataque y daño realizadas con ella. Cuando golpeas con un ataque usando el bidente, el objetivo sufre 2d10 de daño por frío adicional.

Bendición de las profundidades. Si eres adorador de Thassa, obtendrás todos los siguientes beneficios para los cuales tienes la piedad requerida:

Piedad 10+. Puedes respirar bajo el agua y ganar una velocidad de nado de 60 pies.

Piedad 25+. El bidente tiene 1 propiedad beneficiosa menor determinada aleatoriamente.

Piedad 50+. El bidente tiene 1 propiedad beneficiosa importante determinada al azar.

Si no eres adorador de Thassa, el bidente tiene 1 propiedad perjudicial menor y 1 propiedad perjudicial mayor, ambas determinadas al azar.

Consulte ""Artefactos"" en el capítulo 7 de la Guía del Dungeon Master para obtener detalles sobre propiedades determinadas al azar.

Comanda las profundidades. El bidente tiene el poder de comandar las olas y sus criaturas. Como acción, puedes cambiar la condición del mar dentro de 1 milla de ti, creando fuertes vientos y fuertes lluvias que causan olas violentas (ver ""Clima en el mar"" en el capítulo 5 de la Guía del Dungeon Master) o calmando una tormenta. En cualquier caso, el clima antinatural dura 1 hora antes de volver a la normalidad. Una vez utilizada, esta propiedad del bidente no podrá volver a utilizarse hasta el próximo anochecer.

Además, puedes lanzar el hechizo dominar monstruo (salvación CD 18) desde el bidente, pero sólo sobre bestias y monstruosidades que tengan una velocidad de natación innata. Una vez utilizada, esta propiedad del bidente no podrá volver a utilizarse hasta el próximo anochecer.

Metamorfosis acuática. Puedes lanzar el hechizo polimorfismo verdadero (salvación CD 18) desde el bidente, pero debes lanzarlo sobre una criatura para convertirla en un tipo de criatura que tenga una velocidad de natación innata. Una vez utilizada, esta propiedad del bidente no podrá volver a utilizarse hasta el próximo anochecer.

Destruyendo al Bidente. Para destruir el bidente, hay que calentarlo con el aliento de un antiguo dragón rojo y luego, mientras aún está caliente, sumergirlo en el río Tartyx.

Lanzado. Si un arma tiene la propiedad de arrojarse, puedes arrojarla para realizar un ataque a distancia. Si el arma es un arma cuerpo a cuerpo, usas el mismo modificador de habilidad para esa tirada de ataque y daño que usarías para un ataque cuerpo a cuerpo con el arma. Por ejemplo, si lanzas un hacha, usas tu Fuerza, pero si arrojas una daga, puedes usar tu Fuerza o tu Destreza, ya que la daga tiene la propiedad de delicadeza.

Versátil. Esta arma se puede utilizar con una o dos manos. Junto a la propiedad aparece un valor de daño entre paréntesis: el daño cuando el arma se usa con las dos manos para realizar un ataque cuerpo a cuerpo."
"Garras de Delver","BGG","112","extraño","Objeto maravilloso","Requiere sintonización","","","","","","La parte posterior de este guante de cuero desgastado está adornada con tres grandes ganchos de metal con forma de garras de topo. Cosida en la palma del guante está la runa de la montaña.

El guante se considera un arma cuerpo a cuerpo simple con propiedades de delicadeza y ligereza, y causa 1d4 de daño cortante con un golpe. Mientras estás en sintonía con el guante, obtienes una velocidad de excavación igual a tu velocidad al caminar y una visión ciega de hasta 15 pies.

Invocando la Runa. Como acción, puedes invocar la runa del guante para reforzarte con la solidez de la tierra. Gasta y tira una cantidad de tus Dados de Golpe no gastados hasta un máximo igual a tu bonificación de competencia. Luego recuperas una cantidad de puntos de vida igual a la tirada total más tu modificador de Constitución.

Una vez que la runa ha sido invocada, no se puede volver a invocar hasta el siguiente amanecer."
"Armadura Demonio","DMG'24","252","muy raro","Variante genérica","Requiere sintonización","","","","","","Mientras usas esta armadura, obtienes una bonificación de +1 a la clase de armadura y conoces Abyssal. Además, los guanteletes con garras de la armadura permiten que tus golpes desarmados causen 1d8 de daño cortante en lugar del daño contundente habitual, y obtienes una bonificación de +1 a las tiradas de ataque y daño de tus golpes desarmados.

Maldición. Una vez que te pongas esta armadura maldita, no podrás quitártela a menos que seas el objetivo de un hechizo Eliminar maldición o magia similar. Mientras usas la armadura, tienes Desventaja en las tiradas de ataque contra demonios y en las tiradas de salvación contra sus hechizos y habilidades especiales.

Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:

Coraza (Coraza de demonio)Cota de malla (Cota de malla de demonio)Camisa de cotas (Camisa de cota de demonio)Armadura de media placa (Armadura de media placa de demonio)Armadura de piel (Armadura de piel de demonio)Armadura de cuero (Armadura de cuero de demonio)Armadura acolchada (Armadura acolchada de demonio)Armadura de placas (Armadura de placas de demonio)Cota de malla de anillo (Corta de anillo de demonio)Cota de malla (Corta de malla de demonio)Armadura de férula (Armadura de férula de demonio)Armadura de cuero tachonada (Cuero tachonado de demonio) Armadura)"
"Piel de demonio","DitLCoT","14","extraño","Variante genérica","Requiere sintonización","","","","","","Esta armadura mágica aparece como una olla de icor negro burbujeante. Cuando te sintonizas con él, el icor se adhiere y se adapta a tu piel, y la olla desaparece. La armadura se puede usar debajo de la ropa normal y no impide las funciones corporales. Una vez que te lo pones, no puedes quitártelo a menos que tú decidas hacerlo o mueras, momento en el que la vasija reaparece y el icor vuelve a fluir hacia ella.

Mientras usas la armadura, tienes resistencia al daño por veneno. La armadura tampoco impone desventajas en las pruebas de Destreza (Sigilo).

Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:

Cota de malla (Cota de malla con piel de demonio)Armadura de placas (Armadura de placas con piel de demonio)Cota de malla (Cota de malla con anillo de piel de demonio)Armadura con férula (Armadura con férula de piel de demonio)"
"Demonómicon de Iggwilv","DMG'24","252","artefacto","Objeto maravilloso","Requiere sintonización","","","","","","Este tratado, compuesto por el archimago Iggwilv, documenta las capas y los habitantes del Abismo y es ampliamente considerado como el tomo de demonología más completo y blasfemo del multiverso. El tomo relata las blasfemias más antiguas y actuales del Abismo y los demonios. Los demonios han intentado censurar el texto, y aunque se han arrancado secciones del lomo del libro, los capítulos generales permanecen, revelando siempre secretos demoníacos. Enjaulada detrás de líneas de guión se agita una pieza secreta del propio Abismo, que mantiene el libro actualizado, sin importar cuántas páginas se eliminen, y anhela ser más que un mero material de referencia.

Conocimiento abisal. Puedes consultar el Demononomicon siempre que hagas una prueba de Inteligencia para discernir información sobre demonios o una prueba de Sabiduría (Supervivencia) relacionada con el Abismo. Cuando lo hace, obtiene Ventaja en el cheque.

Contención. Las primeras diez páginas del Demononomicon están en blanco. Como acción mágica mientras sostienes el libro, puedes apuntar a un Demonio que puedas ver y que esté atrapado dentro del área de un hechizo de Círculo Mágico. El Demonio debe superar una tirada de salvación de Carisma CD 20 con Desventaja o quedará atrapado dentro de una de las páginas en blanco del Demononomicon, que se llena de escritos que detallan el nombre ampliamente conocido y las depravaciones de la criatura atrapada. Una vez utilizada, esta acción no se puede volver a utilizar hasta el siguiente amanecer.

Cuando terminas un Largo Descanso, si tú y el Demononomicon estáis en el mismo plano de existencia, una criatura atrapada dentro del libro puede intentar poseeros. Realizas una tirada de salvación de Carisma CD 20. Si fallas la salvación, eres poseído por la criatura, que te controla como a una marioneta. Como acción mágica, la criatura poseedora puede liberarte y aparecer en el espacio desocupado más cercano a ti. Con una salvación exitosa, el Demonio no puede intentar poseerte nuevamente durante 7 días (pero otro Demonio atrapado en el libro ciertamente puede intentarlo).

Cuando se descubre el tomo, tiene 1d4 Demonios ocupando sus páginas, normalmente una variedad de demonios.

Atrapamiento. Mientras llevas el libro, cada vez que lanzas Magic Circle nombrando solo Fiends o lanzas Planar Binding apuntando a un Fiend, el hechizo se lanza en el nivel 9, independientemente del nivel de ranura de hechizo que usaste, si corresponde. Además, el Demonio tiene Desventaja en su tirada de salvación contra el hechizo.

Flagelación diabólica. Mientras llevas el libro, cuando haces una tirada de daño para un hechizo que lanzaste contra un Demonio, usas el máximo resultado posible en lugar de tirar.

Propiedades aleatorias. El Artefacto tiene las siguientes propiedades aleatorias:

2 propiedades beneficiosas menores 1 propiedad perjudicial menor 1 propiedad perjudicial mayor Hechizos. El libro tiene 8 cargas y recupera 1d8 cargas gastadas diariamente al amanecer. Mientras sostienes el libro, puedes realizar una acción mágica para lanzar uno de los hechizos (salvo CD 20) en la siguiente tabla. La tabla indica cuántas cargas debes gastar para lanzar el hechizo.

Costo de carga de hechizoCírculo mágico1Tarro mágico3Aliado planar3Unión planar2Cambio de plano (solo al abismo)3Invocar demonio3La horrible risa de Tasha0 Destruyendo el Demononomicon. Para destruir el libro, seis señores demonios diferentes deben arrancar cada uno una sexta parte de las páginas del libro. Si esto ocurre, las páginas reaparecen después de 24 horas. Antes de que pasen todas esas horas, cualquiera que abra la encuadernación restante del libro es transportado a una capa naciente del Abismo que se encuentra oculta dentro del libro. En el corazón de este dominio mortal y semi-consciente se encuentra un artefacto perdido hace mucho tiempo: el Bastón de Fraz-Urb'luu. Si sacan el bastón del avión de bolsillo, el tomo se reduce a una copia mundana y desactualizada del Tomo de Zyx, la obra que sirvió como base del Demonomicon de Iggwilv. El Tomo de Zyx se puede destruir como cualquier libro normal. Una vez que emerge el bastón, el señor demonio Fraz-Urb'luu lo sabe al instante."
"Ropa del desierto","FRHoF","132","ninguno","Equipo de aventuras","","","","","4 lb.","10 GP","Cuando llevas ropa del desierto y no llevas armadura media o pesada, automáticamente tienes éxito en las tiradas de salvación contra los efectos del calor extremo."
"Orbe de devastación","PotA","222","muy raro","Objeto maravilloso","","","","","","","Un orbe de devastación es una bomba elemental que se puede crear en el sitio de un nodo elemental realizando un ritual con un arma elemental. El tipo de orbe creado depende del nodo utilizado. Por ejemplo, un nodo de aire crea una orbe de aire devastadora. El ritual tarda 1 hora en completarse y requiere componentes especiales por valor de 2000 po, que se consumen.

Un orbe de devastación mide 12 pulgadas de diámetro, pesa 10 libras y tiene una capa exterior sólida. El orbe detona 1d100 horas después de su creación, liberando la energía elemental que contiene. El orbe no da ninguna señal exterior de cuánto tiempo queda antes de que detone. Se pueden utilizar hechizos como identificación y adivinación para determinar cuándo explotará el orbe. Un orbe tiene CA 10, 15 puntos de vida e inmunidad al veneno y al daño psíquico. Reducirlo a 0 puntos de vida hace que explote instantáneamente.

Se puede crear un contenedor especial para contener un orbe de devastación y evitar que detone. El contenedor debe tener inscritos símbolos del elemento opuesto del orbe. Por ejemplo, una caja con símbolos de tierra inscritos se puede utilizar para contener una orbe de aire devastadora y evitar que detone. Mientras está en el contenedor, el orbe vibra. Si se retira del contenedor después del momento en que se suponía que debía detonar, explota 1d6 asaltos después, a menos que se devuelva al contenedor.

Independientemente del tipo de orbe, su efecto está contenido dentro de una esfera con un radio de 1 milla. El orbe es el punto de origen de la esfera. El orbe se destruye después de un uso.

Existen múltiples variaciones de este artículo, como se enumeran a continuación:

Orbe de devastación de aire Orbe de devastación de tierra Orbe de devastación de fuego Orbe de devastación de agua"
"Orbe de aire de devastación","PotA","222","muy raro","Objeto maravilloso","","","","","","","Un orbe de devastación es una bomba elemental que se puede crear en el sitio de un nodo elemental realizando un ritual con un arma elemental. El tipo de orbe creado depende del nodo utilizado. Por ejemplo, un nodo de aire crea una orbe de aire devastadora. El ritual tarda 1 hora en completarse y requiere componentes especiales por valor de 2000 po, que se consumen.

Un orbe de devastación mide 12 pulgadas de diámetro, pesa 10 libras y tiene una capa exterior sólida. El orbe detona 1d100 horas después de su creación, liberando la energía elemental que contiene. El orbe no da ninguna señal exterior de cuánto tiempo queda antes de que detone. Se pueden utilizar hechizos como identificación y adivinación para determinar cuándo explotará el orbe. Un orbe tiene CA 10, 15 puntos de vida e inmunidad al veneno y al daño psíquico. Reducirlo a 0 puntos de vida hace que explote instantáneamente.

Se puede crear un contenedor especial para contener un orbe de devastación y evitar que detone. El contenedor debe tener inscritos símbolos del elemento opuesto del orbe. Por ejemplo, una caja con símbolos de tierra inscritos se puede utilizar para contener una orbe de aire devastadora y evitar que detone. Mientras está en el contenedor, el orbe vibra. Si se retira del contenedor después del momento en que se suponía que debía detonar, explota 1d6 asaltos después, a menos que se devuelva al contenedor.

Independientemente del tipo de orbe, su efecto está contenido dentro de una esfera con un radio de 1 milla. El orbe es el punto de origen de la esfera. El orbe se destruye después de un uso.

Orbe de aire. Cuando este orbe detona, crea una poderosa tormenta de viento que dura 1 hora. Siempre que una criatura termina su turno expuesta al viento, debe superar una tirada de salvación de Constitución CD 18 o sufrir 1d4 de daño contundente, mientras el viento y los escombros la azotan. El viento es lo suficientemente fuerte como para arrancar árboles débiles y destruir estructuras ligeras después de al menos 10 minutos de exposición. De lo contrario, se aplican las reglas para viento fuerte, como se detalla en el capítulo 5 de la Guía del Dungeon Master."
"Orbe de devastación de la Tierra","PotA","222","muy raro","Objeto maravilloso","","","","","","","Un orbe de devastación es una bomba elemental que se puede crear en el sitio de un nodo elemental realizando un ritual con un arma elemental. El tipo de orbe creado depende del nodo utilizado. Por ejemplo, un nodo de aire crea una orbe de aire devastadora. El ritual tarda 1 hora en completarse y requiere componentes especiales por valor de 2000 po, que se consumen.

Un orbe de devastación mide 12 pulgadas de diámetro, pesa 10 libras y tiene una capa exterior sólida. El orbe detona 1d100 horas después de su creación, liberando la energía elemental que contiene. El orbe no da ninguna señal exterior de cuánto tiempo queda antes de que detone. Se pueden utilizar hechizos como identificación y adivinación para determinar cuándo explotará el orbe. Un orbe tiene CA 10, 15 puntos de vida e inmunidad al veneno y al daño psíquico. Reducirlo a 0 puntos de vida hace que explote instantáneamente.

Se puede crear un contenedor especial para contener un orbe de devastación y evitar que detone. El contenedor debe tener inscritos símbolos del elemento opuesto del orbe. Por ejemplo, una caja con símbolos de tierra inscritos se puede utilizar para contener una orbe de aire devastadora y evitar que detone. Mientras está en el contenedor, el orbe vibra. Si se retira del contenedor después del momento en que se suponía que debía detonar, explota 1d6 asaltos después, a menos que se devuelva al contenedor.

Independientemente del tipo de orbe, su efecto está contenido dentro de una esfera con un radio de 1 milla. El orbe es el punto de origen de la esfera. El orbe se destruye después de un uso.

Orbe de la Tierra. Cuando este orbe detona, somete el área a los efectos del hechizo terremoto durante 1 minuto (salvación de hechizo CD 18). A efectos de los efectos del hechizo, el hechizo se lanza en el turno en que el orbe explota."
"Orbe de fuego de devastación","PotA","222","muy raro","Objeto maravilloso","","","","","","","Un orbe de devastación es una bomba elemental que se puede crear en el sitio de un nodo elemental realizando un ritual con un arma elemental. El tipo de orbe creado depende del nodo utilizado. Por ejemplo, un nodo de aire crea una orbe de aire devastadora. El ritual tarda 1 hora en completarse y requiere componentes especiales por valor de 2000 po, que se consumen.

Un orbe de devastación mide 12 pulgadas de diámetro, pesa 10 libras y tiene una capa exterior sólida. El orbe detona 1d100 horas después de su creación, liberando la energía elemental que contiene. El orbe no da ninguna señal exterior de cuánto tiempo queda antes de que detone. Se pueden utilizar hechizos como identificación y adivinación para determinar cuándo explotará el orbe. Un orbe tiene CA 10, 15 puntos de vida e inmunidad al veneno y al daño psíquico. Reducirlo a 0 puntos de vida hace que explote instantáneamente.

Se puede crear un contenedor especial para contener un orbe de devastación y evitar que detone. El contenedor debe tener inscritos símbolos del elemento opuesto del orbe. Por ejemplo, una caja con símbolos de tierra inscritos se puede utilizar para contener una orbe de aire devastadora y evitar que detone. Mientras está en el contenedor, el orbe vibra. Si se retira del contenedor después del momento en que se suponía que debía detonar, explota 1d6 asaltos después, a menos que se devuelva al contenedor.

Independientemente del tipo de orbe, su efecto está contenido dentro de una esfera con un radio de 1 milla. El orbe es el punto de origen de la esfera. El orbe se destruye después de un uso.

Orbe de fuego. Cuando este orbe detona, crea una ola de calor seco que dura 24 horas. Dentro del área de efecto, se aplican las reglas para calor extremo, como se detalla en el capítulo 5 de la Guía del Dungeon Master. Al final de cada hora, hay un diez por ciento de posibilidades de que la ola de calor inicie un incendio forestal en un lugar aleatorio dentro del área de efecto. Inicialmente, el incendio forestal cubre un área de 10 pies cuadrados, pero se expande para llenar otros 10 pies cuadrados en cada ronda hasta que el fuego se extingue o se quema solo. Una criatura que se acerque a 10 pies de un incendio forestal por primera vez en un turno o que comience su turno allí sufre 3d6 de daño por fuego."
"Orbe de agua de devastación","PotA","222","muy raro","Objeto maravilloso","","","","","","","Un orbe de devastación es una bomba elemental que se puede crear en el sitio de un nodo elemental realizando un ritual con un arma elemental. El tipo de orbe creado depende del nodo utilizado. Por ejemplo, un nodo de aire crea una orbe de aire devastadora. El ritual tarda 1 hora en completarse y requiere componentes especiales por valor de 2000 po, que se consumen.

Un orbe de devastación mide 12 pulgadas de diámetro, pesa 10 libras y tiene una capa exterior sólida. El orbe detona 1d100 horas después de su creación, liberando la energía elemental que contiene. El orbe no da ninguna señal exterior de cuánto tiempo queda antes de que detone. Se pueden utilizar hechizos como identificación y adivinación para determinar cuándo explotará el orbe. Un orbe tiene CA 10, 15 puntos de vida e inmunidad al veneno y al daño psíquico. Reducirlo a 0 puntos de vida hace que explote instantáneamente.

Se puede crear un contenedor especial para contener un orbe de devastación y evitar que detone. El contenedor debe tener inscritos símbolos del elemento opuesto del orbe. Por ejemplo, una caja con símbolos de tierra inscritos se puede utilizar para contener una orbe de aire devastadora y evitar que detone. Mientras está en el contenedor, el orbe vibra. Si se retira del contenedor después del momento en que se suponía que debía detonar, explota 1d6 asaltos después, a menos que se devuelva al contenedor.

Independientemente del tipo de orbe, su efecto está contenido dentro de una esfera con un radio de 1 milla. El orbe es el punto de origen de la esfera. El orbe se destruye después de un uso.

Orbe de agua. Cuando este orbe detona, crea una tormenta torrencial que dura 24 horas. Dentro del área de efecto, se aplican las reglas para precipitaciones fuertes, como se detalla en el capítulo 5 de la Guía del Dungeon Master. Si hay una masa de agua sustancial en el área, se inunda después de 2 a 10 horas de fuertes lluvias, elevándose 10 pies por encima de sus orillas e inundando el área circundante. La inundación avanza a un ritmo de 100 pies por ronda, alejándose del cuerpo de agua donde comenzó hasta llegar al borde del área de efecto: en ese punto, el agua fluye cuesta abajo (y posiblemente regresa a su origen). Las estructuras ligeras colapsan y desaparecen. Cualquier criatura grande o más pequeña atrapada en el camino de la inundación es arrastrada. Las inundaciones destruyen cultivos y podrían provocar deslizamientos de tierra, según el terreno."
"Máscara del diablo","FRHoF","132","ninguno","Equipo de aventuras","","","","","","25 GP","Mientras llevas una máscara de diablo, otras criaturas tienen Desventaja en las pruebas de Inteligencia (Investigación) y Sabiduría (Perspicacia) realizadas para discernir tu verdadera identidad o intenciones."
"Bastón de golpe de Devlin","ToA","141","muy raro","Bastón, Arma, Arma Simple, Arma Cuerpo A Cuerpo","Requiere sintonización","1d6 contundente","versátil (1d8)","","4 lb.","","Este bastón se puede manejar como un bastón mágico que otorga una bonificación de +3 a las tiradas de ataque y daño realizadas con él.

El personal tiene 10 cargos. Cuando lo usas con un ataque cuerpo a cuerpo, puedes gastar hasta 3 de sus cargas. Por cada carga que gastas, el objetivo sufre 1d6 de daño de fuerza adicional. El bastón recupera 1d6 + 4 cargas gastadas diariamente al amanecer. Si gastas la última carga, tira un d20. Con un 1, el bastón se convierte en un bastón no mágico.

Si te sintonizas con este bastón, te transformas en un híbrido cabra-humanoide en el transcurso de 3 días. Los tiflins son inmunes a esta maldición. A lo largo del primer día, el pelaje desgreñado comienza a crecer por todo el cuerpo. Después de 24 horas, tus ojos se vuelven como los de una cabra y de tu frente brotan cuernos rechonchos. El último día, los dedos de las manos y los pies se fusionan en dos dígitos y los cuernos crecen hasta alcanzar su longitud completa. Esta transformación no te impide empuñar armas o lanzar hechizos. Eliminar maldición, mayor restauración o cualquier otro efecto que ponga fin a una maldición restaura tu apariencia original, pero sólo un hechizo de deseo puede librar al bastón de su poder para transformar a quienes se sintonizan con él.

Versátil. Esta arma se puede utilizar con una o dos manos. Junto a la propiedad aparece un valor de daño entre paréntesis: el daño cuando el arma se usa con las dos manos para realizar un ataque cuerpo a cuerpo."
"Incensario del devoto","TCE","126","extraño","Arma (Mayal), Arma marcial, Arma cuerpo a cuerpo","Requiere sintonía por parte de un clérigo o paladín","1d8 contundente","","","2 lb.","","La cabeza redondeada de este mayal está perforada con pequeños agujeros, dispuestos en símbolos y patrones. El mayal cuenta como un símbolo sagrado para ti. Cuando golpeas con un ataque usando este mayal mágico, el objetivo sufre 1d8 de daño radiante adicional.

Como acción adicional, puedes pronunciar la palabra de comando para hacer que el mayal emane una fina nube de incienso a 10 pies durante 1 minuto. Al comienzo de cada uno de tus turnos, tú y cualquier otra criatura en el incienso recuperan cada uno 1d4 puntos de vida. Esta propiedad no podrá volver a utilizarse hasta el próximo amanecer."
"Juego de dados","PHB'24","221","ninguno","Conjunto de juegos","","","","","","1 SP","Habilidad: Sabiduría

Utilizar: discernir si alguien está haciendo trampa (CD 10) o ganar el juego (CD 20).

Si tienes competencia con una herramienta, agrega tu Bonificación de Competencia a cualquier prueba de habilidad que realices que utilice la herramienta. Si tienes competencia en una habilidad que se usa con esa prueba, también tienes Ventaja en la prueba."
"Bucle dimensional","AI","220","muy raro","Objeto maravilloso","Requiere sintonización","","","","","","Mientras estás en sintonía con este dispositivo, tienes una bonificación de +1 a las tiradas de salvación de Fuerza y ​​tienes visión en la oscuridad en un rango de 60 pies. Si ya tienes visión en la oscuridad, su alcance aumenta en 30 pies.

Capa dimensional. Como acción adicional, envías tu cuerpo fuera de fase con el mundo material durante 1 minuto, lo que te otorga ventaja en las pruebas de Destreza (Sigilo) realizadas para esconderte e impone desventaja en las tiradas de ataque contra ti. Una vez que uses esta característica del bucle dimensional, no podrás volver a usarla hasta el siguiente amanecer.

Doblar el espacio. Elija un espacio que pueda ver a 60 pies de usted (no se requiere ninguna acción). Tratas ese espacio como si estuviera a 5 pies de ti hasta el final de tu turno. Esto te permite moverte inmediatamente a ese espacio sin provocar ataques de oportunidad, o interactuar con objetos o criaturas en ese espacio como si estuvieran a tu lado (incluso permitirte realizar ataques cuerpo a cuerpo en ese espacio). Una vez que uses esta característica del bucle dimensional, no podrás volver a usarla hasta el siguiente amanecer.

Parte de un Todo. Si bien este componente no está instalado en el Planetario del Errante, su magia puede funcionar esporádicamente o con efectos secundarios impredecibles, según lo determine el DM."
"Grilletes dimensionales","DMG'24","254","extraño","Objeto maravilloso","","","","","","","Puedes realizar una acción de Utilizar para colocar estos grilletes en una criatura que tenga la condición de Incapacitado. Los grilletes se ajustan para adaptarse a una criatura de tamaño pequeño a grande. Los grilletes impiden que una criatura atada a ellos utilice cualquier método de movimiento extradimensional, incluida la teletransportación o el viaje a un plano de existencia diferente. No impiden que la criatura atraviese un portal interdimensional.

Tú y cualquier criatura que designes cuando uses los grilletes podéis realizar una acción de Utilizar para eliminarlos. Una vez cada 30 días, la criatura atada puede realizar una prueba de Fuerza (Atletismo) CD 30. Con una prueba exitosa, la criatura se libera y destruye los grilletes."
"Sello del gremio Dimir","GGR","178","poco común","Anillo","Requiere sintonización","","","","","","Este anillo, adornado con el símbolo de Dimir, te permite disfrazarte. A veces se otorga un sello de gremio a un miembro del gremio cuya puntuación de renombre en ese gremio es 5 o superior, como recompensa por realizar servicios especiales para el gremio. Aparte de sus propiedades mágicas, el anillo también es un indicador del reconocimiento y favor de Dimir.

Un sello tiene 3 cargas y recupera 1d3 cargas gastadas diariamente al amanecer. Mientras lo usas, puedes gastar 1 carga para lanzar el hechizo asociado (salvación CD 13)."
"Dimir Keyrune","GGR","177","muy raro","Objeto maravilloso","Requiere sintonía por parte de un miembro del Gremio Dimir","","","","","","Esta runa clave, tallada en piedra negra realzada con acero, se asemeja a un horror estilizado. Cuando se le ordena, se transforma en un devorador de intelectos que se asemeja al símbolo del gremio Dimir, con seis patas en forma de cuchillas. La criatura existe hasta por 24 horas. Durante ese tiempo, persigue sólo una misión que usted le asigna: generalmente una tarea para apoderarse del cuerpo de alguien, ya sea para hacerse pasar por esa persona por un breve tiempo o para extraer secretos de su mente. Cuando se completa la misión, la criatura regresa contigo, informa su éxito y vuelve a su forma de runa clave.

Cuando usas una acción para pronunciar la palabra de comando del objeto y colocas la runa clave en el suelo en un espacio desocupado a 5 pies de ti, la runa clave se transforma en un devorador de intelecto. Si no hay suficiente espacio para la criatura, la runa clave no se transforma.

La criatura es amigable contigo, tus compañeros y otros miembros de tu gremio (a menos que esos miembros del gremio sean hostiles contigo). Entiende sus idiomas y obedece sus órdenes habladas. Si no das ninguna orden, la criatura realiza la acción de esquivar y se mueve para evitar el peligro.

Al final de la duración, la criatura vuelve a su forma de runa clave. Se revierte antes si cae a 0 puntos de vida o si usas una acción para pronunciar la palabra de comando nuevamente mientras la tocas. Cuando la criatura vuelve a su forma de runa clave, no puede volver a transformarse hasta que hayan pasado 36 horas."
"Paquete de diplomático","PHB'24","225","ninguno","Equipo de aventuras","","","","","39 lb.","39 GP","Un paquete de diplomático contiene los siguientes elementos: cofre, ropa fina, tinta, 5 bolígrafos de tinta, lámpara, 2 estuches para mapas o pergaminos, 4 frascos de aceite, 5 hojas de papel, 5 hojas de pergamino, perfume y yesquero."
"Kit de disfraz","PHB'24","221","ninguno","Herramienta","","","","","3 lb.","25 GP","Habilidad: Carisma

Utilizar: Aplicar maquillaje (DC 10)

Artesanía: disfraz

Si tienes competencia con una herramienta, agrega tu Bonificación de Competencia a cualquier prueba de habilidad que realices que utilice la herramienta. Si tienes competencia en una habilidad que se usa con esa prueba, también tienes Ventaja en la prueba."
"Piedra disipadora","EGW","266","muy raro","Objeto maravilloso","","","","","","","Esta piedra lisa, de color arco iris y con forma de huevo se puede lanzar hasta 30 pies y explota en una esfera de energía mágica de 10 pies de radio al impactar, destruyendo la piedra. Cualquier hechizo activo de nivel 5 o inferior en la esfera termina."
