"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Greater Death Dragon","DSotDQ","195","Huge","Undead","chaotic evil","16 (natural armor)","230 (20d12 + 100)","40 ft., Fly 80 ft.","23","10","20","11","14","10","Dex +5, Wis +7","Perception +7, Stealth +5","","piercing","necrotic, poison","exhaustion, poisoned","Blindsight 60 ft., Darkvision 120 ft., passive Perception 17","Common, Draconic","14 (XP 11.500; PB +5)","Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.

Unusual Nature. The dragon doesn't require air, food, drink, or sleep.","Multiattack. The dragon makes one Bite attack and two Claw attacks.

Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (2d10 + 6) piercing damage plus 4 (1d8) necrotic damage. If the target is a Large or smaller creature, it is grappled (escape DC 19). Until this grapple ends, the target is restrained, and the dragon can't bite a different target.

Claw. Melee Weapon Attack: +11 to hit, reach 5 ft. one target. Hit: 10 (1d8 + 6) slashing damage.

Cataclysmic Breath (Recharge 5–6). The dragon exhales a wave of ghostly purple flames in a 60-foot cone. Each creature in that area must make a DC 18 Dexterity saving throw, taking 45 (10d8) necrotic damage on a failed save, or half as much damage on a successful one. A creature dies if the breath reduces it to 0 hit points. Additionally, any Medium or smaller Humanoid killed by the breath's damage, as well as every corpse of such a creature within the cone, becomes a zombie (see the Monster Manual) under the dragon's control. The zombie acts on the dragon's initiative but immediately after the dragon's turn. Absent any other command, the zombie tries to kill any non-Undead creature it encounters.","","","Claw. The dragon makes one Claw attack.

Cataclysmic Rush (Costs 2 Actions). The dragon moves up to half its flying speed without provoking opportunity attacks, carrying with it any creatures it is grappling. During this move, if it enters the space of a Medium or smaller creature, that creature takes 4 (1d8) necrotic damage. A creature can take this damage only once per turn.","","","","",""
"Greater Star Spawn Emissary","VRGR","245","Huge","Aberration","","15 (natural armor)","290 (20d12 + 160)","40 ft., Fly 40 ft. (hover)","24","13","26","27","22","25","Con +15, Int +15, Wis +13, Cha +14","Arcana +22, Perception +13","","acid, force, necrotic, psychic","","charmed, frightened","Truesight 120 ft., passive Perception 23","All, telepathy 1,000 ft.","21 (XP 33.000; PB +7)","Legendary Resistance (4/Day). If the emissary fails a saving throw, it can choose to succeed instead.

Unusual Nature. The emissary doesn't require air, food, drink, or sleep.","Multiattack. The emissary makes three attacks.

Lashing Maw. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: 20 (2d10 + 7) piercing damage plus 13 (3d8) acid damage.

Psychic Orb. Ranged Spell Attack: +15 to hit, range 120 ft., one creature. Hit: 27 (3d12 + 8) psychic damage.

Unearthly Bile (Recharge 5–6). The emissary expels bile that splashes all creatures in a 30-foot-radius sphere centered on a point within 120 feet of the emissary. Each creature in that area must make a DC 23 Dexterity saving throw, taking 55 (10d10) acid damage on a failed save, or half as much damage on a successful one. For each creature that fails the saving throw, a gibbering mouther (see its entry in the Monster Manual) appears in an unoccupied space on a surface that can support it within 30 feet of that creature. The gibbering mouthers act right after the emissary on the same initiative count, gaining a +7 bonus to their attack and damage rolls, and fighting until they are destroyed. They disappear when the emissary dies.","","","Attack. The emissary teleports up to 30 feet to an unoccupied space it can see and makes one attack.

Warp Space (Costs 2 Actions). The emissary causes the ground in a 20-foot square that it can see within 90 feet of it to turn into teeth and maws until the start of its next turn. The area becomes difficult terrain for the duration. Any creature takes 10 (3d6) piercing damage for each 5 feet it moves on this terrain.

Mind Cloud (Costs 3 Actions). The emissary unleashes a psychic wave. Each creature within 30 feet of the emissary must succeed on a DC 23 Wisdom saving throw or take 32 (5d12) psychic damage. In addition, every spell ends on creatures and objects of the emissary's choice in that area.","","","","",""
"Greater Zombie","TftYP","237","Medium","Undead","neutral evil","15 (natural armor)","97 (13d8 + 39)","30 ft.","18","10","17","4","6","6","Wis +1","","","cold, necrotic","poison","charmed, exhaustion, frightened, paralyzed, poisoned","Darkvision 60 ft., passive Perception 8","Understands the languages it knew in life but can't speak","5 (XP 1.800; PB +3)","Turn Resistance. The zombie has advantage on saving throws against any effect that turns undead.

Undead Fortitude. If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5 + the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.","Multiattack. The zombie makes two melee attacks.

Empowered Slam. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage and 7 (2d6) necrotic damage.","","","","","","","",""
"Green Abishai","MPMM","40","Medium","Fiend (Devil)","lawful evil","18 (natural armor)","195 (26d8 + 78)","30 ft., Fly 40 ft.","12","17","16","17","12","19","Int +8, Cha +9","Deception +9, Insight +6, Perception +6, Persuasion +9","","cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison","poisoned","Darkvision 120 ft., passive Perception 16","Draconic, Infernal, telepathy 120 ft.","15 (XP 13.000; PB +5)","Devil's Sight. Magical darkness doesn't impede the abishai's darkvision.

Magic Resistance. The abishai has advantage on saving throws against spells and other magical effects.","Multiattack. The abishai makes two Fiendish Claw attacks, or it makes one Fiendish Claw attack and uses Spellcasting.

Fiendish Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) force damage. If the target is a creature, it must succeed on a DC 16 Constitution saving throw or take 16 (3d10) poison damage and become poisoned for 1 minute. The poisoned target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.

Spellcasting. The abishai casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 17):

At will: alter self, major image

3/day each: charm person, detect thoughts, fear

1/day each: confusion, dominate person, mass suggestion","","","","","","","Urban",""
"Green Dragon Wyrmling","MM'25","152","Medium","Dragon (Chromatic)","lawful evil","17","38 (7d8 + 7)","30 ft., Fly 60 ft., Swim 30 ft.","15","12","13","14","11","13","Dex +3, Wis +2","Perception +4, Stealth +3","","","poison","poisoned","Blindsight 10 ft., Darkvision 60 ft., passive Perception 14","Draconic","2 (XP 450; PB +2)","Amphibious. The dragon can breathe air and water.","Multiattack. The dragon makes two Rend attacks.

Rend. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (1d10 + 2) Slashing damage plus 3 (1d6) Poison damage.

Poison Breath (Recharge 5–6). Constitution Saving Throw: DC 11, each creature in a 15-foot Cone. Failure: 21 (6d6) Poison damage. Success: Half damage.","","","","","","","Forest","Arcana"
"Green Greatwyrm","FTD","168","Gargantuan","Dragon (Chromatic)","chaotic evil","22 (natural armor)","533 (26d20 + 260)","60 ft., Burrow 60 ft., Fly 120 ft., Swim 60 ft.","30","14","30","21","20","26","Dex +10, Con +18, Wis +13, Cha +16","Intimidation +16, Perception +21, Stealth +10","","","poison","charmed, frightened, poisoned","Truesight 120 ft., passive Perception 31","Common, Draconic","27 (XP 105.000, or 210.000 as a mythic encounter; PB +8)","Chromatic Awakening (Recharges after a Short or Long Rest). If the greatwyrm would be reduced to 0 hit points, its current hit point total instead resets to 425 hit points, it recharges its Breath Weapon, and it regains any expended uses of Legendary Resistance. Additionally, the greatwyrm can now use the options in the ""Mythic Actions"" section for 1 hour. Award a party an additional 105,000 XP (210,000 XP total) for defeating the greatwyrm after its Chromatic Awakening activates.

Legendary Resistance (4/Day). If the greatwyrm fails a saving throw, it can choose to succeed instead.

Unusual Nature. The greatwyrm doesn't require food or drink.","Multiattack. The greatwyrm makes one Bite attack and two Claw attacks.

Bite. Melee Weapon Attack: +18 to hit, reach 15 ft., one target. Hit: 21 (2d10 + 10) piercing damage plus 13 (2d12) force damage.

Claw. Melee Weapon Attack: +18 to hit, reach 10 ft., one target. Hit: 19 (2d8 + 10) slashing damage. If the target is a Huge or smaller creature, it is grappled (escape DC 20) and is restrained until this grapple ends. The greatwyrm can have only one creature grappled this way at a time.

Tail. Melee Weapon Attack: +18 to hit, reach 20 ft., one target. Hit: 19 (2d8 + 10) bludgeoning damage. If the target is a creature, it must succeed on a DC 26 Strength saving throw or be knocked prone.

Breath Weapon (Recharge 5–6). The greatwyrm exhales a blast of energy in a 300-foot cone. Each creature in that area must make a DC 26 Dexterity saving throw. On a failed save, the creature takes 78 (12d12) poison damage. On a successful save, the creature takes half as much damage.","","","Attack. The greatwyrm makes one Claw or Tail attack.

Wing Attack (Costs 2 Actions). The greatwyrm beats its wings. Each creature within 30 feet of it must succeed on a DC 26 Dexterity saving throw or take 17 (2d6 + 10) bludgeoning damage and be knocked prone. The greatwyrm can then fly up to half its flying speed.

Arcane Spear (Costs 3 Actions). The greatwyrm creates four spears of magical force. Each spear hits a creature of the greatwyrm's choice it can see within 120 feet of it, dealing 12 (1d8 + 8) force damage to its target, then disappears.","Bite. The greatwyrm makes one Bite attack.

Chromatic Flare (Costs 2 Actions). The greatwyrm flares with elemental energy. Each creature in a 60-foot-radius sphere centered on the greatwyrm must succeed on a DC 26 Dexterity saving throw or take 22 (5d8) poison damage.","","","",""
"Green Hag","MM'25","156","Medium","Fey","neutral evil","17","82 (11d8 + 33)","30 ft., Swim 30 ft.","18","12","16","13","14","14","","Arcana +5, Deception +4, Perception +4, Stealth +3","","","","","Darkvision 60 ft., passive Perception 14","Common, Elvish, Sylvan","3 (XP 700; PB +2)","Amphibious. The hag can breathe air and water.

Coven Magic. While within 30 feet of at least two hag allies, the hag can cast one of the following spells, requiring no Material components, using the spell's normal casting time, and using Intelligence as the spellcasting ability (spell save DC 11): Augury, Find Familiar, Identify, Locate Object, Scrying, or Unseen Servant. The hag must finish a Long Rest before using this trait to cast that spell again.

Mimicry. The hag can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations only with a successful DC 14 Wisdom (Insight) check.","Multiattack. The hag makes two Claw attacks.

Claw. Melee Attack Roll: +6, reach 5 ft. Hit: 8 (1d8 + 4) Slashing damage plus 3 (1d6) Poison damage.

Spellcasting. The hag casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 12, +4 to hit with spell attacks):

At will: Dancing Lights, Disguise Self (24-hour duration), Invisibility (self only, and the hag leaves no tracks while Invisible), Minor Illusion, Ray of Sickness (level 3 version)","","","","","","","Forest, Hill, Swamp","Arcana"
"Green Slaad","MM'25","286","Large","Aberration","chaotic neutral","16","144 (17d10 + 51)","30 ft.","16","15","16","11","8","18","","Arcana +3, Perception +2","","acid, cold, fire, lightning, thunder","","","Blindsight 30 ft., Darkvision 60 ft., passive Perception 12","Common, Slaad; telepathy 60 ft.","8 (XP 3.900; PB +3)","Magic Resistance. The slaad has Advantage on saving throws against spells and other magical effects.

Regeneration. The slaad regains 10 Hit Points at the start of each of its turns if it has at least 1 Hit Point.","Multiattack. The slaad makes three Chaos Staff attacks.

Chaos Staff. Melee or Ranged Attack Roll: +7, reach 10 ft. or range 60 ft. Hit: 8 (1d8 + 4) Force damage. Until the start of the slaad's next turn, the target has a condition determined by rolling 1d4: on a 1, Charmed; on a 2, Frightened; on a 3, Poisoned; or on a 4, Incapacitated.

Spellcasting. The slaad casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 14, +6 to hit with spell attacks):

At will: Detect Magic, Detect Thoughts, Mage Hand

1/day each: Fireball, Invisibility (self only)","Shape-Shift. The slaad shape-shifts into a Small or Medium Humanoid, or it returns to its true form. Other than its size, its game statistics are the same in each form. Any equipment it is wearing or carrying isn't transformed.","","","","","","Planar (Limbo)","Any"
"Grell","MM'25","157","Medium","Aberration","neutral evil","12","55 (10d8 + 10)","10 ft., Fly 30 ft. (hover)","15","14","13","12","11","9","","Perception +4, Stealth +6","","","lightning","blinded, prone","Blindsight 60 ft., passive Perception 14","Deep Speech","3 (XP 700; PB +2)","Abduct. The grell needn't spend extra movement to move a creature it is grappling.","Multiattack. The grell makes one Beak attack and one Paralyzing Tentacles attack.

Beak. Melee Attack Roll: +4, reach 5 ft. Hit: 11 (2d8 + 2) Piercing damage.

Paralyzing Tentacles. Melee Attack Roll: +4, reach 10 ft. Hit: 7 (1d10 + 2) Piercing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 12) from two of ten tentacles. The target is also subjected to the following effect. Constitution Saving Throw: DC 11. Failure: The target has the Poisoned condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically. While Poisoned, the target has the Paralyzed condition.","","","","","","","Underdark",""
"Grell Psychic","PaBTSO","145","Medium","Aberration","chaotic evil","12 (15 with mage armor)","66 (12d8 + 12)","10 ft., Fly 30 ft. (hover)","17","14","13","12","11","14","","Perception +4, Stealth +6","","","lightning","blinded, prone","Blindsight 60 ft. (blind beyond this radius), passive Perception 14","Deep Speech, Grell","4 (XP 1.100; PB +2)","","Multiattack. The grell psychic makes one Tentacle attack and one Beak attack.

Beak. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (3d4 + 3) piercing damage.

Spellcasting (Psionics). The grell psychic casts one of the following spells, requiring no spell components and using Charisma as the spellcasting ability (spell save DC 12):

At will: detect thoughts, mage armor, mage hand (the hand is invisible)

1/day each: confusion, fear

Tentacle. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 8 (1d10 + 3) piercing damage, and the target must succeed on a DC 11 Constitution saving throw or have the poisoned condition for 1 minute. While the target is poisoned, it also has the paralyzed condition. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. The target also has the grappled condition (escape DC 16). While grappling the target, the grell can't make Tentacle attacks against other targets. When the grell moves, any Medium or smaller target it is grappling moves with it.","","","","","","","",""
"Gremishka","VRGR","235","Tiny","Monstrosity","","12","10 (4d4)","30 ft.","6","14","10","12","11","4","","","","","","","Darkvision 30 ft., passive Perception 10","Understands Common but can't speak","1/8 (XP 25; PB +2)","","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 2 (1d4 + 2) piercing damage plus 3 (1d6) force damage.","","Magic Allergy (1/Day). Immediately after a creature within 30 feet of the gremishka casts a spell, the gremishka can spontaneously react to the magic. Roll a d6 to determine the effect:

1-2. The gremishka emanates magical energy. Each creature within 30 feet of the gremishka must succeed on a DC 10 Constitution saving throw or take 3 (1d6) force damage.

3-4. The gremishka surges with magical energy and regains 3 (1d6) hit points.

5-6. The gremishka explodes and dies, and one swarm of gremishkas instantly appears in the space where this gremishka died. The swarm uses the gremishka's initiative.","","","","","",""
"Gremorly's Ghost","BMT","122","Medium","Undead","neutral evil","12","82 (15d8 + 15)","0 ft., Fly 40 ft. (hover)","7","14","12","18","12","17","Int +8, Wis +5","Arcana +8, History +8","","acid, fire, lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks","cold, necrotic, poison","charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","Darkvision 60 ft., passive Perception 11","Common, Draconic, Dwarvish, Giant","9 (XP 5.000; PB +4)","Ethereal Sight. Gremorly can see 60 feet into the Ethereal Plane when he is on the Material Plane, and vice versa.

Incorporeal Movement. Gremorly can move through other creatures and objects as if they were difficult terrain. He takes 5 (1d10) force damage if he ends his turn inside an object.

Legendary Resistance (3/Day). If Gremorly fails a saving throw, he can choose to succeed instead.","Multiattack. Gremorly makes three Withering Strike attacks.

Spellcasting. Gremorly casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 16):

At will: Dancing Lights, Mage Hand, Prestidigitation

2/day each: Bestow Curse, Dispel Magic

1/day: Slow

Withering Strike. Melee Spell Attack: +8 to hit, reach 5 ft., one target. Hit: 19 (3d12) necrotic damage.

Fell Necromancy. Gremorly targets one creature he can see within 60 feet of himself. The target must make a DC 16 Constitution saving throw, taking 61 (7d8 + 30) necrotic damage on a failed save, or half as much damage on a successful one. In addition, Gremorly regains 9 (2d8) hit points.

Possession (Recharge 6). One Humanoid Gremorly can see within 5 feet of himself must succeed on a DC 15 Charisma saving throw or be possessed by him; Gremorly disappears, and the target has the incapacitated condition and loses control of its body. Gremorly can't be targeted by any attack, spell, or other effect, except ones that turn Undead, and he retains his alignment, Intelligence, Wisdom, Charisma, and immunity to the charmed and frightened conditions. He otherwise uses the target's game statistics, but Gremorly doesn't gain access to the target's knowledge, class features, or proficiencies.

The possession lasts until the target drops to 0 hit points, Gremorly ends it as a bonus action, or Gremorly is turned or forced out by an effect like the Dispel Evil and Good spell. When the possession ends, Gremorly reappears in an unoccupied space within 5 feet of the target. The target is immune to this Possession for 24 hours after succeeding on the saving throw or after the possession ends.","Ethereal Step (Recharge 4–6). Gremorly teleports up to 30 feet to an unoccupied space he can see.","","","","","","",""
"Grick","MM'25","158","Medium","Aberration","unaligned","14","54 (12d8)","30 ft., Climb 30 ft.","14","14","11","3","14","5","","Stealth +4","","","","","Darkvision 60 ft., passive Perception 12","—","2 (XP 450; PB +2)","","Multiattack. The grick makes one Beak attack and one Tentacles attack.

Beak. Melee Attack Roll: +4, reach 5 ft. Hit: 9 (2d6 + 2) Piercing damage.

Tentacles. Melee Attack Roll: +4, reach 5 ft. Hit: 7 (1d10 + 2) Slashing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 12) from all four tentacles.","","","","","","","Forest, Underdark","Any"
"Grick Ancient","MM'25","158","Large","Aberration","unaligned","18","135 (18d10 + 36)","30 ft., Climb 30 ft.","18","16","15","4","14","9","","Stealth +6","","","","","Darkvision 60 ft., passive Perception 12","—","7 (XP 2.900; PB +3)","","Multiattack. The grick makes one Beak attack, one Slam attack, and one Tentacles attack.

Beak. Melee Attack Roll: +7, reach 10 ft. Hit: 22 (4d8 + 4) Piercing damage.

Slam. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.

Tentacles. Melee Attack Roll: +7, reach 10 ft. Hit: 15 (2d10 + 4) Slashing damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from all four tentacles.","","","","","","","Forest, Underdark","Any"
"Griffon","MM'25","159","Large","Monstrosity","unaligned","12","59 (7d10 + 21)","30 ft., Fly 80 ft.","18","15","16","2","13","8","","Perception +5","","","","","Darkvision 60 ft., passive Perception 15","—","2 (XP 450; PB +2)","","Multiattack. The griffon makes two Rend attacks.

Rend. Melee Attack Roll: +6, reach 5 ft. Hit: 8 (1d8 + 4) Piercing damage. If the target is a Medium or smaller creature, it has the Grappled condition (escape DC 14) from both of the griffon's front claws.","","","","","","","Arctic, Coastal, Grassland, Hill, Mountain",""
"Griffon Cavalry Rider","WDH","197","Medium","Humanoid (Any Race)","any alignment","17 (half plate armor)","58 (9d8 + 18)","30 ft.","14","15","14","10","12","10","","Animal Handling +3, Athletics +4, Perception +3","","","","","passive Perception 13","Any one language (usually Common)","2 (XP 450; PB +2)","","Lance. Melee Weapon Attack: +4 to hit (with disadvantage against a target within 5 ft.), reach 10 ft., one target. Hit: 8 (1d12 + 2) piercing damage, or 11 (1d12 + 5) piercing damage while mounted.

Dagger. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. Or Ranged Weapon Attack: +4 to hit, range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.

Feather Fall. The rider wears a magic ring with which it can cast the feather fall spell on itself once as a reaction to falling. After the spell is cast, the ring becomes nonmagical.","","","","","","","",""
"Grim Champion of Bloodshed","BMT","161","Medium","Undead","chaotic evil","18 (plate armor)","280 (33d8 + 132)","40 ft.","23","12","18","10","17","21","Str +12, Dex +7, Con +10","Athletics +12, Intimidation +11, Perception +9","","cold, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","poison","blinded, charmed, deafened, exhaustion, frightened, poisoned, stunned, unconscious","Darkvision 60 ft., passive Perception 19","Common","20 (XP 25.000; PB +6)","Legendary Resistance (3/Day). If the champion fails a saving throw, it can choose to succeed instead.","Multiattack. The champion makes four Blazing Morningstar attacks. It can replace one of these attacks with Blade Storm, if available.

Blazing Morningstar. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 10 (1d8 + 6) piercing damage plus 14 (4d6) fire damage.

Blade Storm (Recharge 5–6). The champion conjures a churning storm of spectral blades that fills a 20-foot cube centered on a point it can see within 120 feet of itself. The storm lasts until the start of the champion's next turn. While the storm is active, the area of the storm is difficult terrain. Whenever a creature enters the storm for the first time on a turn or starts its turn there, it must make a DC 19 Dexterity saving throw, taking 27 (6d8) slashing damage on a failed saving throw, or half as much damage on a successful one.","","","Furious Pursuit. The champion moves up to its speed or commands its mount to move up to its speed. This movement doesn't provoke opportunity attacks.

Induce Violence. The champion targets one creature it can see within 60 feet of itself. The target must succeed on a DC 19 Wisdom saving throw or immediately make one melee weapon attack against another creature of the champion's choice that is within the target's reach. If no creature is within the target's reach or if the target has the incapacitated condition, the target instead takes 11 (2d10) psychic damage.

Menace (Costs 2 Actions). The champion chooses any number of creatures it can see within 30 feet of itself. Each target must succeed on a DC 19 Wisdom saving throw or have the frightened condition until the end of its next turn.","","","","",""
"Grim Champion of Desolation","BMT","162","Medium","Undead","lawful evil","18 (studded leather armor)","416 (49d8 + 196)","30 ft.","22","23","18","12","20","19","Dex +14, Con +12, Wis +13","Deception +12, Insight +13, Perception +13, Stealth +14","","cold, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","poison","blinded, charmed, deafened, exhaustion, frightened, poisoned, stunned, unconscious","Darkvision 60 ft., passive Perception 23","Common, Elvish","25 (XP 75.000; PB +8)","Legendary Resistance (3/Day). If the champion fails a saving throw, it can choose to succeed instead.","Multiattack. The champion makes two Leeching Blade attacks and uses Hollow Void.

Leeching Blade. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage plus 33 (6d10) cold damage, and the champion regains 10 hit points.

Hollow Void. The champion summons a hungering rift around a creature it can see within 120 feet of itself. The creature must make a DC 22 Constitution saving throw. On a failed save, the creature takes 49 (11d8) force damage and has the stunned condition until the start of the champion's next turn. On a successful save, the creature takes half as much damage only. If a creature is reduced to 0 hit points by this effect, the creature dies, and its body crumbles to dust.","Step into Nothing (Recharge 4–6). The champion, along with any equipment it is wearing or carrying, has the invisible condition and teleports to an unoccupied space it can see within 30 feet of itself. The champion remains invisible until the start of its next turn or immediately after it deals damage.","","Crush. The champion unleashes a burst of crushing force on a creature it can see within 30 feet of itself. The creature must succeed on a DC 22 Strength saving throw or take 14 (4d6) force damage and have the prone condition.

Fearsome Pursuit. The champion moves up to its speed or commands its mount to move up to its speed. This movement doesn't provoke opportunity attacks.

Nullify (Costs 2 Actions). The champion emits a magic wave in a 60-foot cone. Every spell of 5th level or lower ends on creatures and objects of the champion's choice in that area.","","","","",""
"Grim Champion of Pestilence","BMT","163","Medium","Undead","neutral evil","14 (17 with mage armor)","120 (16d8 + 48)","40 ft.","10","18","16","17","15","21","Dex +9, Cha +10","Arcana +8, Perception +7, Stealth +9","","cold, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","poison","blinded, charmed, deafened, exhaustion, frightened, poisoned, stunned, unconscious","Darkvision 60 ft., passive Perception 17","Common, Infernal","15 (XP 13.000; PB +5)","Halo of Pestilence. The champion is surrounded by an aura of deadly magic that takes the form of a host of glowing white insects. Each creature that starts its turn within 10 feet of the champion must succeed on a DC 18 Constitution saving throw or have the incapacitated condition until the start of its next turn, as the insects ravage its body.

Legendary Resistance (3/Day). If the champion fails a saving throw, it can choose to succeed instead.","Multiattack. The champion makes two Blight Staff attacks, two Plague Bolt attacks, or one of each.

Blight Staff. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) bludgeoning damage plus 21 (6d6) necrotic damage.

Plague Bolt. Ranged Spell Attack: +10 to hit, range 120 ft., one target. Hit: 23 (4d8 + 5) poison damage, and the target has the poisoned condition until the start of the champion's next turn.

Spellcasting. The champion casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 18):

At will: Detect Magic, Mage Armor (self only)

2/day each: Blight, Blindness/Deafness

1/day each: Cloudkill, Contagion","","","Attack. The champion makes one Blight Staff or Plague Bolt attack.

Furious Pursuit. The champion moves up to its speed or commands its mount to move up to its speed. This movement doesn't provoke opportunity attacks.

Cast a Spell (Costs 2 Actions). The champion uses Spellcasting.","","","","",""
"Grimlock","MM'25","160","Medium","Aberration","neutral evil","11","11 (2d8 + 2)","30 ft., Climb 30 ft.","16","12","12","9","8","6","","Athletics +5, Perception +3, Stealth +5","","","","","Blindsight 30 ft., passive Perception 13","—","1/4 (XP 50; PB +2)","","Bone Cudgel. Melee Attack Roll: +5, reach 5 ft. Hit: 6 (1d6 + 3) Bludgeoning damage plus 2 (1d4) Psychic damage.","","","","","","","Underdark",""
"Grinning Cat","BGG","156","Large","Fey","chaotic neutral","12","45 (7d10 + 7)","40 ft., Climb 40 ft.","14","15","13","15","14","16","","Perception +4, Stealth +6","","","","","Darkvision 60 ft., passive Perception 14","Common, Sylvan","1 (XP 200; PB +2)","Magic Resistance. The grinning cat has advantage on saving throws against spells and other magical effects.","Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.

Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage. If the grinning cat was invisible before it attacked, the target must succeed on a DC 12 Strength saving throw or have the prone condition. If the target has the prone condition, the cat can make a Bite attack against it as a bonus action.

Fade Away. The grinning cat magically becomes invisible for 1 hour or until it attacks, gradually fading away over the course of its turn. It can choose to leave part of its body visible, such as its tail, its head, or its grinning mouth. Any equipment the cat wears or carries is invisible with it.","Fade Back. The grinning cat becomes visible or makes part of its body visible. Any equipment the cat wears or carries on a visible part of its body also becomes visible.

Grinning Step. The grinning cat teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.","","","","","","",""
"Grippli Warrior","CM","99","Small","Humanoid (Grippli)","","12","13 (3d6 + 3)","30 ft., Climb 30 ft., Swim 30 ft.","10","15","12","10","14","10","","Athletics +2, Stealth +4, Survival +4","","","","","passive Perception 12","Grippli plus one other language (usually Common, Draconic, or Primordial)","1/4 (XP 50; PB +2)","Hold Breath. The grippli can hold its breath for 20 minutes.

Standing Leap. The grippli can leap 30 feet horizontally or 20 feet vertically from a standing position.","Multiattack. The grippli makes one attack with its tongue. If this attack hits, the grippli can make a melee attack using its trident against the same target.

Tongue. Melee Weapon Attack: +4 to hit, reach 5 ft., one Medium or smaller creature. Hit: The target is grappled (escape DC 12). Until this grapple ends, the target is restrained, and the grippli can't grab another creature.

Trident. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack, plus 2 (1d4) piercing damage if the grippli had advantage on the attack roll.

Shortbow. Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 5 (1d6 + 2) piercing damage, plus 2 (1d4) piercing damage if the grippli had advantage on the attack roll.","","","","","","","",""
