Name,Source,Page,Level,Casting Time,Duration,School,Range,Components,Classes,Optional/Variant Classes,Subclasses,Text,At Higher Levels
Create Food and Water,PHB'14,229,3rd,accion,instantaneo,conjuracion,30 pies,"V, S","Artificer (TCE), Cleric (PHB'14), Paladin (PHB'14)",,"Land (Desert) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Genie (TCE) Warlock, Genie (TCE) Warlock","You create 45 pounds of food and 30 gallons of water on the ground or in containers within Alcance, enough to sustain up to fifteen humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad.",
Create Food and Water,PHB'24,258,3rd,accion,instantaneo,conjuracion,30 pies,"V, S","Artificer (EFA), Cleric (PHB'24), Paladin (PHB'24)",,"Land (Desert) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Genie (TCE) Warlock, Genie (TCE) Warlock","You create 45 pounds of food and 30 gallons of fresh water on the ground or in containers within Alcance—both useful in fending off the hazards of malnutrition and dehydration. The food is bland but nourishing and looks like a food of your choice, and the water is clean. The food spoils after 24 hours if uneaten.",
Create Homunculus,XGE,152,6th,1 Hr.,instantaneo,transmutacion,toque,"V, S, M (clay, ash, and mandrake root, all of which the spell consumes, and a jewel-encrusted dagger worth at least 1,000 gp)",,"Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","While speaking an intricate incantation, you cut yourself with a jewel-encrusted dagger, taking 2d4 piercing dano that can't be reduced in any way. You then drip your blood on the spell's other Componentes and touch them, transforming them into a special Constructo called a homunculus.

The statistics of the homunculus are in the Monster Manual. It is your faithful companion, and it dies if you die. Whenever you finish a descanso largo, you can spend up to half your Hit Dice if the homunculus is on the same plane of existence as you. When you do so, roll each die and add your Constitution modifier to it. Your hit point maximum is reduced by the total, and the homunculus's hit point maximum and current puntos de golpe are both increased by it. This process can reduce you to no lower than 1 hit point, and the change to your and the homunculus's puntos de golpe ends when you finish your next descanso largo. The reduction to your hit point maximum can't be removed by any means before then, except by the homunculus's death.

You can have only one homunculus at a time. If you cast this spell while your homunculus lives, the spell fails.",
Create Magen,IDRotF,318,7th,1 Hr.,instantaneo,transmutacion,toque,"V, S, M (a vial of quicksilver worth 500 gp and a life-sized human doll, both of which the spell consumes, and an intricate crystal vara worth at least 1,500 gp that is not consumed)","Wizard (PHB'14), Wizard (PHB'24)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","While casting the spell, you place a vial of quicksilver in the chest of a life-sized human doll stuffed with ash or dust. You then stitch up the doll and drip your blood on it. At the end of the casting, you tap the doll with a crystal vara, transforming it into a magen clothed in whatever the doll was wearing. The type of magen is chosen by you during the casting of the spell. See appendix C for different kinds of magen and their statistics.

When the magen appears, your hit point maximum decreases by an amount equal to the magen's challenge rating (minimum reduction of 1). Only a wish spell can undo this reduction to your hit point maximum.

Any magen you create with this spell obeys your commands without question.",
Create Spelljamming Helm,AAG,22,5th,accion,instantaneo,transmutacion,toque,"V, S, M (a crystal vara worth at least 5,000 gp, which the spell consumes)","Artificer (TCE), Artificer (EFA), Wizard (PHB'14), Wizard (PHB'24)",,,"Holding the vara used in the casting of the spell, you touch a Grande or smaller chair that is unoccupied. The vara disappears, and the chair is transformed into a spelljamming helm.",
Create No muerto,PHB'14,229,6th,1 Min.,instantaneo,necromancia,10 pies,"V, S, M (one clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse)","Cleric (PHB'14), Warlock (PHB'14), Wizard (PHB'14)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","You can cast this spell only at night. Choose up to three corpses of Mediano or Pequeno humanoids within Alcance. Each corpse becomes a ghoul under your control. (The DM has game statistics for these creatures.)

As a bonus action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 pies of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.

The creature is under your control for 24 hours, after which it stops obeying any command you have given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell, rather than animating new ones.","A niveles superiores. When you cast this spell using a 7th-level spell slot, you can animate or reassert control over four ghouls. When you cast this spell using an 8th-level spell slot, you can animate or reassert control over five ghouls or two ghasts or wights. When you cast this spell using a 9th-level spell slot, you can animate or reassert control over six ghouls, three ghasts or wights, or two mummies."
Create No muerto,PHB'24,258,6th,1 Min.,instantaneo,necromancia,10 pies,"V, S, M (one 150+ GP black onyx stone for each corpse)","Cleric (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer","You can cast this spell only at night. Choose up to three corpses of Mediano or Pequeno Humanoids within Alcance. Each one becomes a Ghoul under your control (see the Monster Manual for its stat block).

As a Bonus Action on each of your turns, you can mentally command any creature you animated with this spell if the creature is within 120 pies of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to them). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a particular place. If you issue no commands, the creature recibe the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow the order until its task is complete.

The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell rather than animating new ones.","Using a Higher-Level Spell Slot. If you use a level 7 spell slot, you can animate or reassert control over four Ghouls. If you use a level 8 spell slot, you can animate or reassert control over five Ghouls or two Ghasts or Wights. If you use a level 9 spell slot, you can animate or reassert control over six Ghouls, three Ghasts or Wights, or two Mummies. See the Monster Manual for these stat blocks."
Create or Destroy Water,PHB'14,229,1st,accion,instantaneo,transmutacion,30 pies,"V, S, M (a drop of water if creating water or a few grains of sand if destroying it)","Cleric (PHB'14), Druid (PHB'14)",,"Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Fathomless (TCE) Warlock, Fathomless (TCE) Warlock","You either create or destroy water.

Create Water. You create up to 10 gallons of clean water within Alcance in an open container. Alternatively, the water falls as rain in a 30-foot cube within Alcance, extinguishing exposed flames in the area.

Destroy Water. You destroy up to 10 gallons of water in an open container within Alcance. Alternatively, you destroy fog in a 30-foot cube within Alcance.","A niveles superiores. When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 pies, for each slot level above 1st."
Create or Destroy Water,PHB'24,258,1st,accion,instantaneo,transmutacion,30 pies,"V, S, M (a mix of water and sand)","Cleric (PHB'24), Druid (PHB'24)",,"Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Fathomless (TCE) Warlock, Fathomless (TCE) Warlock","You do one of the following:

Create Water. You create up to 10 gallons of clean water within Alcance in an open container. Alternatively, the water falls as rain in a 30-foot Cube within Alcance, extinguishing exposed flames there.

Destroy Water. You destroy up to 10 gallons of water in an open container within Alcance. Alternatively, you destroy fog in a 30-foot Cube within Alcance.","Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 pies, for each spell slot level above 1."
Creation,PHB'14,229,5th,1 Min.,Special,ilusion,30 pies,"V, S, M (a Diminuto piece of matter of the same type of the item you plan to create)","Artificer (TCE), Sorcerer (PHB'14), Wizard (PHB'14)",,"Forge (XGE) Cleric, Forge (XGE) Cleric, Illusionist (PHB'24) Wizard, Genie (TCE) Warlock, Genie (TCE) Warlock","You pull wisps of shadow material from the Shadowfell to create a nonliving object of vegetable matter within Alcance: soft goods, rope, wood, or something similar. You can also use this spell to create mineral objects such as stone, crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.

The Duracion depends on the object's material. If the object is composed of multiple materials, use the shortest Duracion.

CreationMaterialDurationVegetable matter1 dayStone or crystal12 hoursPrecious metals1 hourGems10 minutesAdamantine or mithral1 minuteUsing any material created by this spell as another spell's material component causes that spell to fail.","A niveles superiores. When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 pies for each slot level above 5th."
Creation,PHB'24,259,5th,1 Min.,Special,ilusion,30 pies,"V, S, M (a paintbrush)","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)",,"Forge (XGE) Cleric, Forge (XGE) Cleric, Illusionist (PHB'24) Wizard, Genie (TCE) Warlock, Genie (TCE) Warlock","You pull wisps of shadow material from the Shadowfell to create an object within Alcance. It is either an object of vegetable matter (soft goods, rope, wood, and the like) or mineral matter (stone, crystal, metal, and the like). The object must be no larger than a 5-foot Cube, and the object must be of a form and material that you have seen.

The spell's Duracion depends on the object's material, as shown in the Materials table. If the object is composed of multiple materials, use the shortest Duracion. Using any object created by this spell as another spell's Material component causes the other spell to fail.

MaterialsMaterialDurationVegetable matter24 hoursStone or crystal12 hoursPrecious metals1 hourGems10 minutesAdamantine or mithral1 minute",Using a Higher-Level Spell Slot. The Cube increases by 5 pies for each spell slot level above 5.
Crown of Madness,PHB'14,229,2nd,accion,"Concentration, up to 1 minute",encantamiento,120 pies,"V, S","Bard (PHB'14), Sorcerer (PHB'14), Warlock (PHB'14), Wizard (PHB'14)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin","One Humanoide of your choice that you can see within Alcance debe superar a Wisdom tirada de salvacion or become hechizado by you for the Duracion. While el objetivo is hechizado in this way, a twisted crown of jagged iron appears on its head, and a madness glows in its eyes.

The hechizado target must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. el objetivo can act normally on its turn if you choose no creature or if none are within its reach.

On your subsequent turns, you must use your action to maintain control over el objetivo, or the spell ends. Also, el objetivo can make a Wisdom tirada de salvacion at the end of each of its turns. On a success, the spell ends.",
Crown of Madness,PHB'24,259,2nd,accion,"Concentration, up to 1 minute",encantamiento,120 pies,"V, S","Bard (PHB'24), Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin","una criatura that you can see within Alcance debe superar a Wisdom tirada de salvacion or have the hechizado condition for the Duracion. The creature succeeds automatically if it isn't Humanoide.

A spectral crown appears on the hechizado target's head, and it must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. el objetivo can act normally on its turn if you choose no creature or if no creature is within its reach. el objetivo repeats the save at the end of each of its turns, ending the spell on itself on a success.

On your later turns, you must take the Magic action to maintain control of el objetivo, or the spell ends.",
Crown of Stars,XGE,152,7th,accion,1 hour,evocacion,personal,"V, S",,"Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Evoker (PHB'24) Wizard","Seven star-like motes of light appear and orbit your head until the spell ends. You can use a bonus action to send one of the motes streaking toward una criatura or object within 120 pies of you. When you do so, make a ranged spell attack. On a hit, el objetivo recibe 4d12 radiant dano. Whether you hit or miss, the mote is expended. The spell ends early if you expend the last mote.

If you have four or more motes remaining, they shed bright light in a 30-foot radius and dim light for an additional 30 pies. If you have one to three motes remaining, they shed dim light in a 30-foot radius.","A niveles superiores. When you cast this spell using a spell slot of 8th level or higher, the number of motes created increases by two for each slot level above 7th."
Crusader's Mantle,PHB'14,230,3rd,accion,"Concentration, up to 1 minute",evocacion,personal,V,Paladin (PHB'14),,"War (PHB'14) Cleric, Solidarity (PSA) (PSA) Cleric, Solidarity (PSA) (PSA) Cleric","Holy power radiates from you in an aura with a 30-foot radius, awakening boldness in friendly creatures. Until the spell ends, the aura moves with you, centered on you. While in the aura, each nonhostile creature in the aura (including you) deals an extra 1d4 radiant dano when it hits with a arma attack.",
Crusader's Mantle,PHB'24,259,3rd,accion,"Concentration, up to 1 minute",evocacion,personal,V,Paladin (PHB'24),,"War (PHB'14) Cleric, War (PHB'24) Cleric, Solidarity (PSA) (PSA) Cleric, Solidarity (PSA) (PSA) Cleric","You radiate a magical aura in a 30-foot Emanation. While in the aura, you and your allies each deal an extra 1d4 Radiant dano when hitting with a arma or an Unarmed Strike.",
Cure Wounds,PHB'14,230,1st,accion,instantaneo,evocacion,toque,"V, S","Artificer (TCE), Bard (PHB'14), Cleric (PHB'14), Druid (PHB'14), Paladin (PHB'14), Ranger (PHB'14)",,"Wildfire (TCE) Druid, Wildfire (TCE) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Life (PHB'14) Cleric, Celestial (XGE) Warlock",A creature you touch regains a number of puntos de golpe equal to 1d8 + your spellcasting ability modifier. This spell has no effect on No muerto or constructs.,"A niveles superiores. When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st."
Cure Wounds,PHB'24,259,1st,accion,instantaneo,abjuracion,toque,"V, S","Artificer (EFA), Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24)",,"Celestial (PHB'24) Warlock, Wildfire (TCE) Druid, Wildfire (TCE) Druid, Moon (PHB'24) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Life (PHB'24) Cleric, Life (PHB'14) Cleric, Spellfire (FRHoF) Sorcerer, Celestial (XGE) Warlock",A creature you touch regains a number of puntos de golpe equal to 2d8 plus your spellcasting ability modifier.,Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1.
Dancing Lights,PHB'14,230,truco,accion,"Concentration, up to 1 minute",evocacion,120 pies,"V, S, M (a bit of phosphorus or wychwood, or a glowworm)","Artificer (TCE), Bard (PHB'14), Sorcerer (PHB'14), Wizard (PHB'14)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create up to four torch-sized lights within Alcance, making them appear as torches, lanterns, or glowing orbs that hover in the air for the Duracion. You can also combine the four lights into one glowing vaguely Humanoide form of Mediano size. Whichever form you choose, each light sheds dim light in a 10-foot radius.

As a bonus action on your turn, you can move the lights up to 60 pies to a new spot within Alcance. A light must be within 20 pies of another light created by this spell, and a light winks out if it exceeds the spell's Alcance.",
Dancing Lights,PHB'24,259,truco,accion,"Concentration, up to 1 minute",ilusion,120 pies,"V, S, M (a bit of phosphorus)","Artificer (EFA), Bard (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Illusionist (PHB'24) Wizard","You create up to four torch-size lights within Alcance, making them appear as torches, lanterns, or glowing orbs that hover for the Duracion. Alternatively, you combine the four lights into one glowing Mediano form that is vaguely humanlike. Whichever form you choose, each light sheds Dim Light in a 10-foot radius.

As a Bonus Action, you can move the lights up to 60 pies to a space within Alcance. A light must be within 20 pies of another light created by this spell, and a light vanishes if it exceeds the spell's Alcance.",
Danse Macabre,XGE,153,5th,accion,"Concentration, up to 1 hour",necromancia,60 pies,"V, S",,"Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)",,"Threads of dark power leap from your fingers to pierce up to five Pequeno or Mediano corpses you can see within Alcance. Each corpse immediately stands up and becomes No muerto. You decide whether it is a zombie or a skeleton (the statistics for zombies and skeletons are in the Monster Manual), and it gains a bonus to its attack and dano rolls equal to your spellcasting ability modifier.

You can use a bonus action to mentally command the creatures you make with this spell, issuing the same command to all of them. To receive the command, a creature must be within 60 pies of you. You decide what action the creatures will take and where they will move during their next turn, or you can issue a general command, such as to guard a chamber or passageway against your foes. If you issue no commands, the creatures do nothing except defend themselves against hostile creatures. Once given an order, the creatures continue to follow it until their task is complete.

The creatures are under your control until the spell ends, after which they become inanimate once more.","A niveles superiores. When you cast this spell using a spell slot of 6th level or higher, you animate up to two additional corpses for each slot level above 5th."
Dark Star,EGW,186,8th,accion,"Concentration, up to 1 minute",evocacion,150 pies,"V, S, M (a shard of onyx and a drop of the caster's blood, both of which the spell consumes)",,,"Chronurgy (EGW) Wizard, Chronurgy (EGW) Wizard, Graviturgy (EGW) Wizard, Graviturgy (EGW) Wizard","This spell creates a sphere centered on a point you choose within Alcance. The sphere can have a radius of up to 40 pies. The area within this sphere is filled with magical darkness and crushing gravitational force.

For the Duracion, the spell's area is difficult terrain. A creature with Vision en la oscuridad can't see through the magical darkness, and nonmagical light can't illuminate it. No sound can be created within or pass through the area. Any creature or object entirely inside the sphere is immune to thunder dano, and creatures are ensordecido while entirely inside it. Casting a spell that includes a verbal component is impossible there.

Any creature that enters the spell's area for the first time on a turn or starts its turn there must make a Constitution tirada de salvacion. The creature recibe 8d10 force dano on a failed save, or half as much dano on a successful one. A creature reduced to 0 puntos de golpe by this dano is disintegrated. A disintegrated creature and everything it is wearing and carrying, except magic items, are reduced to a pile of fine gray dust.",
Darkness,PHB'14,230,2nd,accion,"Concentration, up to 10 minutes",evocacion,60 pies,"V, M (bat fur and a drop of pitch or piece of coal)","Sorcerer (PHB'14), Warlock (PHB'14), Wizard (PHB'14)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Swamp) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Shadow (XGE) Sorcerer, Shadow (XGE) Sorcerer, Shadow (PHB'14) Monk","Magical darkness spreads from a point you choose within Alcance to fill a 15-foot-radius sphere for the Duracion. The darkness spreads around corners. A creature with Vision en la oscuridad can't see through this darkness, and nonmagical light can't illuminate it.

If the point you choose is on an object you are holding or one that isn't being worn or carried, the darkness emanates from the object and moves with it. Completely covering the source of the darkness with an opaque object, such as a bowl or a helm, blocks the darkness.

If any of this spell's area overlaps with an area of light created by a spell of 2nd level or lower, the spell that created the light is dispelled.",
Darkness,PHB'24,260,2nd,accion,"Concentration, up to 10 minutes",evocacion,60 pies,"V, M (bat fur and a piece of coal)","Sorcerer (PHB'24), Warlock (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Swamp) (PHB'14) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Shadow (XGE) Sorcerer, Shadow (XGE) Sorcerer, Shadow (PHB'24) Monk, Shadow (PHB'14) Monk","For the Duracion, magical Darkness spreads from a point within Alcance and fills a 15-foot-radius Sphere. Vision en la oscuridad can't see through it, and nonmagical light can't illuminate it.

Alternatively, you cast the spell on an object that isn't being worn or carried, causing the Darkness to fill a 15-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the Darkness.

If any of this spell's area overlaps with an area of Bright Light or Dim Light created by a spell of level 2 or lower, that other spell is dispelled.",
Vision en la oscuridad,PHB'14,230,2nd,accion,8 hours,transmutacion,toque,"V, S, M (either a pinch of dried carrot or an agate)","Artificer (TCE), Druid (PHB'14), Ranger (PHB'14), Sorcerer (PHB'14), Wizard (PHB'14)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Shadow (PHB'14) Monk","You touch a willing creature to grant it the ability to see in the dark. For the Duracion, that creature has Vision en la oscuridad out to a Alcance of 60 pies.",
Vision en la oscuridad,PHB'24,260,2nd,accion,8 hours,transmutacion,toque,"V, S, M (a dried carrot)","Artificer (EFA), Druid (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Shadow (PHB'14) Monk","For the Duracion, a willing creature you touch has Vision en la oscuridad with a Alcance of 150 pies.",
Dawn,XGE,153,5th,accion,"Concentration, up to 1 minute",evocacion,60 pies,"V, S, M (a sunburst pendant worth at least 100 gp)",,"Cleric (PHB'14), Cleric (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Evoker (PHB'24) Wizard","The light of dawn shines down on a location you specify within Alcance. Until the spell ends, a 30-foot-radius, 40-foot-high cylinder of bright light glimmers there. This light is sunlight.

When the cylinder appears, cada criatura in it must make a Constitution tirada de salvacion, taking 4d10 radiant dano on a failed save, or half as much dano on a successful one. A creature must also make this tirada de salvacion whenever it ends its turn in the cylinder.

If you're within 60 pies of the cylinder, you can move it up to 60 pies as a bonus action on your turn.",
Daylight,PHB'14,230,3rd,accion,1 hour,evocacion,60 pies,"V, S","Cleric (PHB'14), Druid (PHB'14), Paladin (PHB'14), Ranger (PHB'14), Sorcerer (PHB'14)",,"Land (Grassland) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Light (PHB'14) Cleric, Celestial (XGE) Warlock","A 60-foot-radius sphere of light spreads out from a point you choose within Alcance. The sphere is bright light and sheds dim light for an additional 60 pies.

If you chose a point on an object you are holding or one that isn't being worn or carried, the light shines from the object and moves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light.

If any of this spell's area overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created the darkness is dispelled.",
Daylight,PHB'24,260,3rd,accion,1 hour,evocacion,60 pies,"V, S","Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24), Sorcerer (PHB'24)",,"Celestial (PHB'24) Warlock, Land (Grassland) (PHB'14) Druid, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Light (PHB'24) Cleric, Light (PHB'14) Cleric, Celestial (XGE) Warlock","For the Duracion, sunlight spreads from a point within Alcance and fills a 60-foot-radius Sphere. The sunlight's area is Bright Light and sheds Dim Light for an additional 60 pies.

Alternatively, you cast the spell on an object that isn't being worn or carried, causing the sunlight to fill a 60-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the sunlight.

If any of this spell's area overlaps with an area of Darkness created by a spell of level 3 or lower, that other spell is dispelled.",
Death armadura,FRHoF,143,2nd,accion,1 hour,necromancia,toque,"V, S, M (an onyx worth 50+ GP, which the spell consumes)","Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","For the Duracion, an inky aura surrounds una criatura you touch. el objetivo has Advantage on Death Tiradas de salvacion, and once per turn, when a creature within 5 pies of el objetivo hits it with a melee attack roll, the attacker recibe 2d4 Necrotic dano.",
Death Ward,PHB'14,230,4th,accion,8 hours,abjuracion,toque,"V, S","Cleric (PHB'14), Paladin (PHB'14)",,"Alchemist (TCE) Artificer, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Grave (XGE) Cleric, Grave (XGE) Cleric, Life (PHB'14) Cleric, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, No muerto (VRGR) Warlock, No muerto (VRGR) Warlock, Undying (SCAG) Warlock, Undying (SCAG) Warlock, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You touch a creature and grant it a measure of protection from death.

The first time el objetivo would drop to 0 puntos de golpe as a result of taking dano, el objetivo instead drops to 1 hit point, and the spell ends.

If the spell is still in effect when el objetivo is subjected to an effect that would kill it instantaneously without dealing dano, that effect is instead negated against el objetivo, and the spell ends.",
Death Ward,PHB'24,261,4th,accion,8 hours,abjuracion,toque,"V, S","Cleric (PHB'24), Paladin (PHB'24)",,"Alchemist (TCE) Artificer, Alchemist (EFA) Artificer, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Grave (XGE) Cleric, Grave (XGE) Cleric, Life (PHB'14) Cleric, Life (PHB'24) Cleric, Lunar (DSotDQ) Sorcerer, Lunar (DSotDQ) Sorcerer, No muerto (VRGR) Warlock, No muerto (VRGR) Warlock, Undying (SCAG) Warlock, Undying (SCAG) Warlock, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You touch a creature and grant it a measure of protection from death. The first time el objetivo would drop to 0 puntos de golpe before the spell ends, el objetivo instead drops to 1 Hit Point, and the spell ends.

If the spell is still in effect when el objetivo is subjected to an effect that would kill it instantly without dealing dano, that effect is negated against el objetivo, and the spell ends.",
Delayed Blast Fireball,PHB'14,230,7th,accion,"Concentration, up to 1 minute",evocacion,150 pies,"V, S, M (a Diminuto ball of bat guano and sulfur)","Sorcerer (PHB'14), Wizard (PHB'14)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Evoker (PHB'24) Wizard","A beam of yellow light flashes from your pointing finger, then condenses to linger at a chosen point within Alcance as a glowing bead for the Duracion. When the spell ends, either because your concentration is broken or because you decide to end it, the bead blossoms with a low roar into an explosion of flame that spreads around corners. cada criatura in a 20-foot-radius sphere centered on that point must make a Dexterity tirada de salvacion. A creature recibe fire dano equal to the total accumulated dano on a failed save, or half as much dano on a successful one.

The spell's base dano is 12d6. If at the end of your turn the bead has not yet detonated, the dano increases by 1d6.

If the glowing bead is touched before the interval has expired, the creature touching it must make a Dexterity tirada de salvacion. On a failed save, the spell ends immediately, causing the bead to erupt in flame. On a successful save, the creature can throw the bead up to 40 pies. When it strikes a creature or a solid object, the spell ends, and the bead explodes.

The fire damages objects in the area and ignites flammable objects that aren't being worn or carried.","A niveles superiores. When you cast this spell using a spell slot of 8th level or higher, the base dano increases by 1d6 for each slot level above 7th."
